Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean(background)
1,,0.0160744597678059,0.0144449876812732,0.0230569671061773,0.0223014448708634,0.0185718163890354,0.015198651907511,0.0125132305144568,0.01194854285078,0.0218551971148203,0.038351216134493,0.0221488555434149,0.019077791909795,0.00982229632196273,0.0187880713965406,0.0129334016098149,0.0227398755681897,0.0215534183541894,0.0298754318634345,0.0128260531778098,0.039522523322949,0.0825475823056308,0.0649402196579218,0.0411346443889896,0.0299693513261837,0.0223235943975392,0.0123948056972674,0.0209919238624602,0.0338554529726641,0.0171136779364655
2,,0.0112125815781124,0.00880641143156699,0.0154119000798777,0.0145275304315642,0.0119266522439519,0.00476891744763932,0.00689052674753613,0.00677536896832499,0.0124895790291164,0.0210140846727399,0.0114569163370403,0.0123496521559437,0.00617529105791779,0.0101855588780554,0.00410103297448899,0.0160367811173681,0.0133620228998746,0.0149396243703052,0.00506364658306149,0.0247552022776666,0.0491308952463784,0.0264659750798785,0.0273545446849383,0.0206030998454255,0.011397317975455,0.00707684285176002,0.0152435055452107,0.0199756598731986,0.0130860099452876
3,,0.00936804445811951,0.00543909807951181,0.00697905284425642,0.00613527488109252,0.00977295585525145,0.00871346942047493,0.00343897962821604,0.00592902474075999,0.00927810998747156,0.0170957555329332,0.0026327010992814,0.00811298533410698,0.00343709348486272,0.00567272448096992,0.00677694719690032,0.0102128397553266,0.0067148639362307,0.0250768277281051,0.00519238062792558,0.00904379217819687,0.0390955789263058,0.0267114111347726,0.0154258148772525,0.016341974354702,0.0046710767915529,0.00695664420157384,0.00649106201982223,0.010321331678388,0.00557515614006103
4,,0.00395526340417145,0.000218674534085287,0.00108839633742182,0.00347752102801601,0.0025812114841165,-0.00136860159024087,-0.00065555753905758,-0.00137048380491563,0.00325030579128038,0.00616569810552889,0.000197681227120758,0.00397816056301429,-0.00227771441120396,-0.00167530499456875,0.00470756804504632,0.00601677326163281,0.00281922046766392,0.0383893309361803,0.00174186174911104,0.00709376984289526,0.0221228337007849,0.0301620356413912,0.0101414293438877,0.0121752359267788,-0.00375205263170672,0.00238118450207849,0.00299926983201123,0.00374239053144515,0.00527375456379819
5,,0.00292928910910244,0.000381517272233839,0.00124695210036399,0.000502895178587787,0.00439402473866295,0.00213473724014407,0.000402255930171002,-0.000143331434295873,0.00445064017697788,-0.000882683923683872,-0.00179272116932527,0.00428856313019924,-0.0021583827755865,-0.00098355735751718,0.00941706185951606,0.00424430645795783,-0.00223457187114819,0.0205040177761676,-0.000491347340021838,0.00657432243241741,0.028244862493651,-0.0010701834195419,0.00853581475313166,0.0103633763862034,-0.00281521588226262,0.00307420358323878,0.00330421217536321,0.000164786078866952,0.00282121212861061
6,,0.00431208779756702,0.00249763606067253,0.000905047491749813,0.00094245602320396,0.0030952628677283,0.0011586767545461,0.00889472773497261,0.0017291934793545,0.00090236820292861,-0.00514856119181852,-0.00228701606229753,0.00251964360608779,-0.00112448145957563,-0.00070036446291522,0.0142415257545243,0.0030477335512705,-0.00182032846618053,0.0214955006536189,-0.00409871174427464,0.00450898982730266,0.0116409265766935,0.000939225878063963,0.00202931623096536,0.00708783198899154,-0.00617065015858185,-0.000387420672826235,5.63914584453413e-05,-0.00259869190424534,0.00113510833859768
7,,0.00090375652380006,-0.00127661677525554,-0.00236843920546176,-0.00280908048656882,0.000708889582518616,-0.00122147420448973,0.00513144452570837,-0.00241789323571435,-0.000119006813767254,-0.00827852575895568,-0.00203155843787831,0.00323413217387694,-0.00376606132625612,-0.00110901526808365,0.0135359040862802,0.000257834291756084,-0.00248728998584646,0.00396572532803409,-0.00412674054402356,0.00503659494329303,0.0147306639465247,-0.00953965161602797,0.00398242942058802,0.00457365045519578,-0.000588597494655336,0.000259585493219242,-0.00377078451841858,-0.00611100809421123,-0.00170853670062826
8,,0.000442018092271723,0.00415384545092786,-0.00258807792625862,-0.00240014733702007,0.00209423557818213,0.0030038958630335,0.00739716661858295,-0.00176195307967667,-0.000603387061547949,-0.00492139631607287,-0.00371682579264734,0.000496306509537615,0.000647873078104127,-0.00366476389796264,0.000652095154012,6.64952292552185e-05,-0.00368043410246643,0.00519989923645409,0.00338754089424618,0.00530458659330819,5.67852392813779e-05,-0.00717564582286242,-0.00115207620765606,0.00394809138441839,-0.00389022756155214,0.00359923516202348,0.000956085746707531,-0.00424788837750152,-0.00223189474493638
9,,-0.00135793681135808,0.00101749096695605,-0.000833567434685776,0.000605106207475581,0.00149895776153721,0.000917915168098706,0.00273477861374788,-0.00420569020790898,0.000233778800223457,-0.0053388956814111,0.00334921290494053,-0.00162324600511897,-0.0021981321517613,-0.00395141505043627,-0.00361735211740898,-0.00141081635540374,-0.00377174091792573,0.026913454713816,0.00501445149205691,0.000901630401779749,-0.00554482758653424,0.00256220021824917,-0.000139616065566355,0.00309224354631141,0.0143535107177381,0.00301583983301404,-0.00191060103154891,-0.00718970696666955,-0.000836477391349494
10,,-0.000770201536575685,-0.000881057873288128,0.0036058939555863,0.00283353812562412,0.000275968958873639,0.000917915168098706,0.00364506265769416,-0.000407802315572516,-0.00293020884430034,-0.00782428432973323,0.00375397825664438,-0.00125132558776089,-0.0033002587625934,-0.0033958843484408,-0.0100394639533574,-8.20207349953268e-05,-0.00574412771928956,0.0222150247462631,0.00399846951178046,0.0019611399650441,-0.00950313817672585,-0.024914829709144,-0.00331504115560973,0.00260239035628187,0.0100305838052109,-0.000205306398266229,-0.00204776349931746,-0.00714504167408034,-0.0025807490833331
11,,-0.0017830094948496,-0.00193719261027343,-0.00195415479081337,-0.00177664225400472,-0.00318184699245743,-0.00586135307563694,-0.00146000525617097,-0.00350747959984265,-0.0036777783596615,0.00316256431660754,-0.000591831589111184,0.000172493801232607,-0.00334000813876819,-0.00285466699152518,-0.00893338100243604,-0.0028027376584918,-0.0028592427184853,0.0291684798299993,0.00561603717634167,-0.000582520805194412,-0.0127239884030876,-0.0159634111696548,-0.00164945471164336,0.00067842170065883,0.00298956118345892,-0.0035891930451108,-0.00165132085674847,-0.00565634106079757,-0.00246441327939217
12,,-0.00322872327369564,-0.00341357207027126,-0.0045711246562209,-0.00274257209059389,-0.00617985818859801,-0.0053799144101434,-0.00365617776284114,-0.00425862179164405,-0.00192469984728136,0.0220029407959316,-0.00447980113459554,-0.00329595011112414,0.0121570711296799,-0.00559677729559949,-0.0118669697575359,-0.0057330489094804,-0.00234685303622612,0.00201192675049621,-0.00279483513058995,-0.00543073338274149,-0.0146785748738304,0.0019394259093234,-0.00412978314814399,-0.000189175564352684,-0.00349867234314784,-0.0063294639512342,-0.00474667040199047,-0.00587924010467553,-0.00324141399097691
13,,-0.00249407501302892,-0.00219836022885605,-0.00202433521047625,-0.00266074984708532,-0.00620138462844765,0.00204110303944769,-0.00433252228955416,-0.00074634000659862,-0.0042147731285765,0.0280224567141172,-0.00170640550902544,-0.00565651005709952,0.00776585065456242,-0.00405545097474218,-0.0106817162858715,-0.00364921894123643,-0.00359630872193091,-0.00757301119037482,4.47551306903155e-05,-0.00938843318825129,-0.0178543229105588,-0.0152587665302298,-0.0101091658792418,-0.00671656968118559,-0.00160971558875936,-0.00181591987611256,-0.00621049922734824,-0.00690141280541229,-0.00221077061211556
14,,-0.00223949805790901,-0.00160974983824082,-0.00469339054403822,-0.00666781392907777,-0.00117424337553717,0.000155742915318808,-0.00306321943302666,-0.000714637167577159,-0.00252492537108491,0.0122153319174273,-0.00439357729946615,-0.00393025916382462,0.00114783004272388,-0.00100152108590608,-0.00874319069740781,-0.00592634998644295,-0.00248728998584646,-0.0216301826095119,-0.00184441904471123,-0.0101057600770414,-0.0204891611782807,-0.0115354158585506,-0.0088689519330867,-0.00277424530713944,-0.00245440592638537,-0.00398522701274883,-0.00781157850153141,-0.00521663369475832,-0.00128574789735855
15,,-0.00394237206048664,-0.00384134806072119,-0.00581177851379462,-0.00502202048918908,-0.00338209071959299,-0.00285280508015906,-0.00402628419061437,-0.00025966869607386,-0.00522553191151796,0.00638950673505441,-0.000104148108417089,-0.00523357483715872,-0.00431136264226856,0.00219938476247589,-0.00342312921828885,-0.00620111731605291,-0.00460706718969327,-0.0259185622939072,-0.00431872542017926,-0.00933904599812097,-0.0218249772579131,-0.0107990202255665,-0.0103607890776198,-0.00605556650591277,0.00663671795073282,-0.000511251921574006,-0.00566158541310326,-0.00443808986268991,-0.00268636974743745
16,,-0.00139726915925226,-0.00297634015514978,0.00155026747537432,-0.000754353897131376,-0.00242976102064034,-0.0041631768454993,-0.00138486604577877,0.0092719441615933,-0.00197206458249318,-0.00929741145359116,0.00252645937697612,0.000121666553071204,-0.00147671437702445,0.00231408364855274,0.000212048610963125,-0.00498620383939782,-0.00198880720931255,-0.0277468414323033,-0.00366323183785254,-0.00785070569912691,-0.0199072638053618,-0.00072013527567657,-0.00696377644370846,-0.00884713242654719,0.0037266431022402,-0.00215367081793847,-0.00342018000651506,-0.00124965047137892,-0.000831119821431199
17,,-0.0067340521172692,-0.00772723101622285,-0.0054404821054926,-0.00492497343214392,-0.00643415719802296,-0.00572766236670046,-0.00852446553078746,-0.00347577676082119,-0.004299003027155,-0.0221448570176843,-0.00670573509345534,-0.00863252983643865,-0.0107136009263007,-0.0032524627094853,-0.0124338372698831,-0.00837647952418246,-0.00363130396830538,-0.0413020356713472,-0.00880391214576942,-0.00942558382011275,-0.0262136576891852,0.00801304985078307,-0.0133624648682298,-0.0180304844951577,-0.00831289782576616,-0.00886122369991577,-0.0081470502716413,-0.00396557808319408,-0.00815721400118843
18,,-0.00772061073319858,-0.00354227306270314,-0.00499000778782717,-0.00493004836998949,-0.00823606372304562,-0.00504568763780227,-0.00866365633637985,-0.00547520654925661,-0.00429375324123251,-0.026377260145886,-0.00673557827387823,-0.00691434378327808,-0.00423754237222957,-0.00165743732889854,0.00228537805907038,-0.00654293435726601,-0.00287326361524114,-0.0298469787790329,-0.0023172706841319,-0.01103342348094,-0.0276929303825112,0.00506256909394499,-0.0149201417587416,-0.0163779276010302,-0.0121750926792032,-0.00109997506180725,-0.00302373736394619,-0.00217971436299632,-0.00536102172409636
19,,-0.00813251707989499,-0.00361616316433996,-0.00705693111621854,-0.00811933518688176,-0.00908564054911563,-0.00410968366044453,-0.00868592319994733,-0.00424805417863685,-0.00854222999543112,-0.0309136685238219,-0.00569060783322694,-0.00773592592560644,-0.00333432965645747,-0.00203381106059809,-0.00959151681780198,-0.00881400874913436,-0.00152566165224499,-0.0382646261664752,-0.00390209674190669,-0.0174276314923879,-0.0328969317997169,-0.0341071359518327,-0.0166875709517746,-0.0252720479440065,-0.0150468253253,-0.00524751465073416,-0.00486870012796539,-0.00158838008264123,-0.00558313126556792
20,,-0.00939723539343157,-0.00393975662190448,-0.0115121880995202,-0.00851802942674218,-0.0086149290644012,-0.00328066605319645,-0.00659549538692662,-0.00266113537227752,-0.0121326169187697,-0.0332920105821737,-0.00582999844209413,-0.0100777304294557,0.00108528323021338,-0.00322739033991569,0.0104675937693755,-0.00809770286067251,0.00120476550218309,-0.047473005789921,-0.00652390570956333,-0.024118713840936,-0.0382403543715438,-0.0357119168852404,-0.0169451614987307,-0.0271725177458205,-0.0158146525066083,-0.00457217421590748,0.00322802058005376,-0.00369224358931107,-0.00582605879300794
21,,-0.00726928870736254,-0.002823037022422,-0.0120510377604648,-0.0100870755609677,-0.00722958306873755,-0.00270567769440792,-0.00588570474827067,-0.00226975961621569,-0.00842638471940843,-0.0325337639032168,-0.00478833370758212,-0.0122588945714961,-0.00207888402323667,-0.00184379900309373,0.0031138704003594,-0.0053098509205964,-0.00132207367170776,-0.0486988318510263,-0.00886005242609239,-0.0265263393597886,-0.0407112422236159,-0.0493686927208905,-0.0212889934403721,-0.0310617738750142,-0.016851232607739,-0.00749811127074008,0.00133730766642605,-0.0027293752842371,-0.00860112693727919
22,,-0.00777569268649943,-0.00532149315443767,-0.00956973004531734,-0.00720958580258186,-0.0101626322530648,-0.00904373279569277,-0.00949037091706072,-0.00578194788256205,-0.0122800775722368,-0.0375277699565955,0.00137533903919025,-0.0102248668729341,-0.00199362328148341,0.00808505147189354,-0.00195633484073893,-0.00898077997837604,0.000180100128695303,-0.0575473488516764,-0.0090145828884244,-0.0309663359439148,-0.0453539983231559,-0.0563424529563328,-0.0216363925834291,-0.0350514876042421,-0.00773704978372568,-0.00987076320241917,-0.00480764127444945,0.000999856082657077,-0.0114130857772736
23,,-0.00812993381128331,-0.00118004919055685,-0.00928231023544427,-0.00721982471227007,-0.0113963364391203,-0.00246500061536178,-0.0111744055616797,-0.00438552666642924,-0.0124010559722725,-0.0320560287504529,0.00383028497335633,-0.010299888641438,-0.00101659029567244,0.00559030266836195,-0.00490177448459866,-0.00617467277330879,0.0015979205665017,-0.056451266441607,-0.00671349284178766,-0.0343221293697115,-0.0457965536681023,-0.0358574641394613,-0.0216124237333069,-0.0383624761059494,-0.00856627811432492,-0.00668844541354281,-0.00383184337193453,0.000889795672688559,-0.00640238024279452
24,,-0.0097698093922338,-0.00430318211613847,-0.013595006993049,-0.0105266364055839,-0.0075759195676534,-0.00461782666476488,-0.0116086552178364,-0.00442779711845789,-0.0098056784741079,-0.0341405226199999,-0.00202494702560002,-0.0125051535266101,-0.00207888402323667,0.00371563871376359,-0.00869949054510583,-0.00522429002907238,0.00393530664764174,-0.0637476873005621,-0.00958342696592285,-0.0391457585914571,-0.049201689858773,-0.0527828429456521,-0.0242905697751725,-0.0395486786638564,-0.00987938682667305,-0.00858538838246392,-0.0034810628979172,-0.00118126342052471,-0.00834733119657629
25,,-0.00882783299266753,-0.00326210991402819,-0.0136651874127119,-0.0106748780110704,-0.0108443985213728,-0.00755952930577457,-0.0115084085151913,-0.00146568584067935,-0.0130592624650421,-0.0383996873956942,0.00441080370145786,-0.0122722109354055,-0.0030672739736692,0.00300227696501408,-0.0112604346869786,-0.00344167193318273,0.00177335276249652,-0.0672452341724802,-0.00559688829722128,-0.0415451161655336,-0.0558359054472474,-0.0592519985479212,-0.0291735516608484,-0.0433081036257548,-0.00425881320882437,-0.00801434388856429,-0.00152937911183051,-0.00218569822994599,-0.0110695890087954
26,,-0.00962547967496128,-0.00513982224769534,-0.0168752917935896,-0.0124893018418246,-0.00764623927116259,-0.00616887550915125,-0.00898657167469945,-0.000682840809856357,-0.0122748277863143,-0.0360980973890621,-0.00232677636113786,-0.0133294552080468,-0.00242543845837478,0.000235094291370161,-0.0125527576466749,-0.00660401272050747,-0.00140631304327385,-0.065739101479253,-0.00500935835322354,-0.0431982641637349,-0.0581920596590242,-0.0591747640374181,-0.0324627541971147,-0.0453797234128119,-0.0101864819488911,-0.00895139286865853,0.000559555123081695,-0.00636948977548684,-0.0101023180283965
27,,-0.00889874788262073,-0.00502819212812174,-0.0127324476471065,-0.0102097644092321,-0.00872858866680777,-0.00575436670552727,-0.0112384571568799,-0.000333735505823188,-0.0134487965804901,-0.026213598981517,-0.00418788891747514,-0.0152616408558649,-0.000141769991453944,0.00186960144932507,-0.00878672625403263,-0.0088404532918786,-0.00297859132745644,-0.0679815545362274,-0.00713954713413512,-0.0485081587775894,-0.0591386517547855,-0.0622070276564536,-0.0332835629940368,-0.0482657743081373,-0.00736855351221664,-0.00771211168823061,0.00252663559413279,-0.00646459051808095,-0.0136383141744974
28,,-0.00924498920783287,-0.00640231371246809,-0.0178646157721996,-0.0138437760425834,-0.00987570872813422,-0.00861587182265538,-0.0138577000713313,-0.00397301568435301,-0.0139489261860384,-0.036245065644599,-0.0065166670673305,-0.0155962379433923,-0.000482562437188495,0.0226557485751232,-0.0047590700324485,-0.00990062354099172,-0.00509836853130324,-0.0695504469490254,-0.0096442800532832,-0.0457213101916646,-0.0592042477463751,-0.067094144083787,-0.0347514312884476,-0.0454682357621596,-0.00606322049126349,-0.00986010757997156,0.000330892356096255,-0.00984312453981333,-0.0151183811327941
29,,-0.0094470674782635,-0.0057814025526209,-0.00816392226568788,-0.00597272551224192,-0.0123703839240547,-0.00821471518844469,-0.0155584119553301,-0.00672349414589076,-0.0149649347549023,-0.0388739779799688,-0.00178610975704697,-0.0114399381910654,0.00103417688941714,0.0115081503885299,-0.0116450124868041,-0.0101041612151456,-0.00382087105208677,-0.0698433256403562,-0.00994862817090996,-0.0404401880256315,-0.0568890020118622,-0.0637072839691918,-0.0349850529852814,-0.0430485392030547,-0.00243134697948999,-0.00433347212819733,-0.00197157190400789,-0.00954307635419041,-0.0137494454819463
30,,-0.00635622824999804,0.000867953467947024,-0.00916914180943516,-0.00628959750859376,-0.00482158767061206,0.00019588393096029,-0.0135514619723915,-0.00436439144041484,-0.00854747978135361,-0.0411322017525451,-0.00349782276092906,-0.0127272179613817,0.0356640672328298,0.0505891540944663,0.00495339168897507,-0.00928813380904504,-0.00589151812177253,-0.0700358290109629,-0.00253025648989289,-0.0349777222708387,-0.0592001331606541,-0.0734042823133557,-0.0382143831241473,-0.0452261975679255,-0.0114918149698442,0.00460167091622848,0.00894599745160224,-0.00902899807034712,-0.013812817880409
31,,-0.00665530409023538,-0.00420477355495519,-0.0089495030886383,-0.00914669848160042,-0.0116615421780691,-0.0060351848002149,-0.0137045810218614,-0.00126471415614484,-0.0127749573918626,-0.0431731527434985,-0.00643044323220123,-0.0131313977391965,0.0112595368962187,0.0398968931943089,-0.00971043719459372,-0.0123669610242842,-0.0113033562874982,-0.0727300715876686,-0.00811096414961901,-0.0387622361931014,-0.0585404542922798,-0.059743045594313,-0.0407007783650356,-0.0448368019779299,-0.0155843311649448,-0.00696242406950766,-0.00259676529461929,-0.0130018583059095,-0.0192199835888449
32,,-0.00604140280435391,-0.00516634904522517,-0.00945436223293703,-0.00938691220628644,-0.0117967282203256,-0.00836184257419583,-0.0141277430628262,-0.00510496601920918,-0.0138804456452274,-0.0460460111857151,-0.00578353490580506,-0.0151037200331641,0.00542539736453464,0.0185658783282862,-0.0172781349439964,-0.0108895641346486,-0.00850966411112268,-0.0697470739550528,-0.00999542551798317,-0.044554537824836,-0.0561145895031925,-0.0729177836186582,-0.0408325573128027,-0.0444589599910571,-0.0186325809432829,-0.00854292734149819,-0.0067594130415931,-0.0138457972553574,-0.0155570895723926
33,,-0.00725878897042468,-0.00638147720589105,-0.00964680854041724,-0.00864579321285208,-0.00912898044801314,-0.00695783660815923,-0.0116698661843511,-0.00276699853974765,-0.0154229494111613,-0.0481605346267057,-0.00782040083854015,-0.015398180474542,0.00228394404032722,0.00988795657565487,-0.0135517711095642,-0.01306287902334,-0.0116683555672744,-0.0705336825556357,-0.0112338189180955,-0.0486524619737515,-0.0607491164312907,-0.0768956670486203,-0.0423963010077022,-0.0443291288237618,-0.0254355959077394,-0.00929971870851953,-0.00454853706176294,-0.0155335682994861,-0.0175814856343919
34,,-0.00852350728396126,-0.00673921240917225,-0.0144393714153751,-0.0129339376242862,-0.011082528782644,-0.0101802728364552,-0.0132981878534598,-0.00416341975588033,-0.0143594594451763,-0.0477864014954232,-0.00904121648075956,-0.0162974101472719,0.000943321172445994,0.003622457876666,-0.00756180522415808,-0.0129794507562307,-0.00963270374396313,-0.0714833256200397,-0.00981518131900837,-0.0531008367419176,-0.0619538196543924,-0.060893166294884,-0.0439241411553233,-0.0453679739859073,-0.0280846935278046,-0.0115166532485203,-0.00256623586786125,-0.0168856016658274,-0.0173172809007048
35,,-0.0078885231929585,0.00223830941857462,-0.01667154863793,-0.0145898809398659,-0.00968091836576056,0.00606602155096764,-4.03323456757581e-05,-0.0029150386405471,-0.0113219333104294,-0.0456217993279364,-0.0101758082878497,-0.0185080203334501,0.00811240508970064,0.00452573562020105,-0.0132267769448925,-0.0121247801957331,-0.0136828050589061,-0.0705754217922092,-0.00834511624663589,-0.0448843737017776,-0.0617980192835361,-0.0754910135897663,-0.0445592659556557,-0.045857729264046,-0.0279464292221958,-0.0015383893459985,0.00947969054299662,-0.0184991086469191,-0.0187918372156569
36,,-0.00886458207195003,-0.00403063391565037,-0.0110594144233759,-0.0123104325412707,-0.00934548859636851,-0.00340100459271952,-0.00861637361374278,-0.00388828774289741,-0.0152808552055262,-0.0484678078003913,-0.00868291466534477,-0.0136505483772435,0.00109664019483482,0.0127448618285249,-0.0129729704106186,-0.0111114423787702,-0.0135423681092857,-0.066563325680989,-0.0105689824025191,-0.0491306798996115,-0.0495992221407345,-0.0657802827222175,-0.0424323040107902,-0.0425291166219819,-0.0236542475721957,-0.00283070646542725,-0.000172271308540224,-0.0173669823909808,-0.0184589025135888
37,,-0.00903249453170995,-0.00398703624526213,-0.0039984844228461,-0.00592161999779796,-0.0139342558608723,-0.00933790305979367,-0.0104172405672033,-0.00296797022428216,-0.0198452524103489,-0.0512404204673469,-0.0077440941218282,-0.0142045841376449,-0.00337975751494311,0.00203809545785018,-0.0176468292609701,-0.011860334768291,-0.0131353061392417,-0.0661449275505166,-0.0121185864287512,-0.0525030092149607,-0.0528650954300812,-0.0529464961383488,-0.0439421426568672,-0.045332431969521,-0.0281230357302002,0.000922575092936121,-0.00255101514501078,-0.0187220076907971,-0.0178458434415051
38,,-0.00823484784941621,-0.00271324787933311,-0.00595213935312054,-0.00964243977850612,-0.0137178433855828,-0.00433700857007726,-0.00944308819442365,-0.00286210705681203,-0.0155914092083182,-0.0475693053583381,-0.008540310175509,-0.0151894324036799,-0.000891580177744269,0.0010774682712765,-0.0196329230001506,-0.00917211904087691,-0.0154586713236259,-0.0703203598549789,-0.00793311769457558,-0.0534758707169697,-0.0524184254994139,-0.0633572358253265,-0.0448108891540336,-0.0443645729282572,-0.0315321848401787,0.00929377739176081,-0.00180388000948142,-0.0186981790777651,-0.0190350708899493
39,,-0.00945756721520135,-0.00386595020101698,-0.01399339584256,-0.0134246039833463,-0.0112881302014756,-0.00602183263080149,-0.00283496117316463,-0.00156098139514215,-0.0151913755210252,-0.048925493798103,-0.0116254522550343,-0.016492748077014,0.000227498372927034,0.000292443734408515,-0.00883429440474935,-0.0126518796461089,-0.0168413825240273,-0.0707470052562924,-0.0112735883950253,-0.0534305623795957,-0.0431822092023366,-0.0789779374416384,-0.0451043832482681,-0.043957357374123,-0.0360777467787377,0.00186664709691637,0.00205391337519738,-0.018306022083023,-0.020240217974722
40,,-0.00609381815779751,-0.00224187421849495,-0.0112949487093102,-0.0123563740838719,-0.0119861608910033,-0.00497884228333409,-0.00338613477134626,-0.0013069846081735,-0.0132960861411007,-0.047138381008119,-0.0100894926275499,-0.0190245452095993,-0.000317886450178354,0.00065450412102822,-0.00818817407382045,-0.0102363839288665,-0.0138091071207399,-0.0683957284548058,-0.00818827072119764,-0.0534553662139244,-0.0552540872009769,-0.0735179036374139,-0.0475608422904561,-0.0432314386152025,-0.0370606120462093,0.00533892697542911,0.00405143529194954,-0.0210843528787425,-0.016016922144812
