Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38
1,,0.0507848873529294,0.0493128114900453,0.0474211373965986,0.0467900428546217,0.0502164204766014,0.0584720357306571,0.0797197627040498,0.0567860254108466,0.0453172134432174,0.0440799253950698,0.0459176170506235,0.0487905223297874,0.0487475716310193,0.0474030794727871,0.0501672477442339,0.0488310223970008,0.054879422993076,0.0462056896300699,0.0451933251933251,0.0488531508501052,0.079559785588228,0.0442854277444439,0.0506690063610441,0.0566461613051108,0.0642424094115343,0.099358419654596,0.057521827821412,0.0567039132618729,0.095150123780979,0.0503799601735287,0.0495103455694878,0.0458302942918984,0.0448868226334722,0.0368904229203365,0.0442400484822449,0.0396547184885393,0.0545399309380413,0.051419125906612
2,,0.0328688522657891,0.0322924549050014,0.0292770276411101,0.0286561688215015,0.0300351510141789,0.0354575116999513,0.0513400073387688,0.0369167176312576,0.0265618591773731,0.0277294344785585,0.0298020801111557,0.0305287109260207,0.0305481779020769,0.0300685402819455,0.0302673310585518,0.0300592037247483,0.0334566103574986,0.0293316719256248,0.0263329263329263,0.03133037633251,0.0527098835148189,0.028584484226662,0.0332169636042228,0.0353258884961391,0.0409338121486121,0.0645665728370909,0.0357510127503559,0.0313705420185189,0.0529990711608947,0.0287978915574346,0.0329192838191678,0.0292736810701031,0.0323060010779832,0.0282127450279397,0.0306363806060792,0.0266475382622831,0.0319173853856733,0.0305177530517983
3,,0.0191017937251443,0.0198123511277943,0.0178878323929673,0.0185253100805311,0.0181420895813458,0.0233755626861817,0.0327543708642697,0.0210747596470562,0.0178109273833264,0.015955050952545,0.0180982855056517,0.0190426612706862,0.0183626927444558,0.0173673452112727,0.0202289286415521,0.0204419243967701,0.0214583975089151,0.0185551974919601,0.0174277574277575,0.0208542939801676,0.0299901395381274,0.0164877618096908,0.0206301731742834,0.023976563472386,0.024803365573834,0.040238716704052,0.0240282661736336,0.0180925573152123,0.0296239293619787,0.0205589688116182,0.0196553066444468,0.0191402562345071,0.0211259487274968,0.0180183693765721,0.0178202935016915,0.0171978774141483,0.0190697275322525,0.0176419183429104
4,,0.010341795516748,0.0116041108298822,0.0110592279091778,0.00938211928850142,0.0106959989451371,0.0147079305453577,0.0207981797670965,0.012233468299369,0.0105171785021647,0.00873139899046495,0.0112930461813074,0.0108731244909783,0.0103291319812676,0.0118429733756869,0.0123839392636854,0.010284781754471,0.0135362701517317,0.0136107950574226,0.00942612942612944,0.0110672215284276,0.0178011363746435,0.00862400668064962,0.0118973185763125,0.0133061406705978,0.0144167990478075,0.0231963064940988,0.0156473995202496,0.0102451830580117,0.0133403392382491,0.008862104037448,0.0132820913018551,0.00877018761626171,0.0147746349408392,0.0151041429682642,0.0127265892894129,0.011154137106999,0.0121820842426028,0.0115859503383014
5,,0.00502356194351256,0.00406684385332526,0.00469732660953228,0.00124112097407291,0.00469037227129036,0.00666907359103653,0.00923075244205048,0.00557103611832694,0.00551888442463414,0.00465434952240572,0.00483263269456039,0.00392104180485469,0.00396234737642298,0.00538707256489208,0.00658200799888212,0.00394524397772832,0.00485212328469225,0.0030417200547368,0.00309320309320317,0.00369951338675778,0.00913787792786943,0.00613558867247321,0.00343779276075065,0.00537875714947485,0.00593353005272805,0.00826267936568055,0.00674319596611916,0.00111834560670244,0.000698877556395194,0.00166056390013764,0.00319732827715071,0.00216106482940933,0.0101721075529735,0.00758565550593782,0.00572018891710192,0.00463538711015719,0.00445957509966218,0.00369846617424355
6,,0.00318481097404296,0.00230740269954943,0.00318258820485486,0.000827171907237652,0.00339026120782525,0.00568196415846228,0.00770979943881615,0.00461139417489469,0.00255751269844809,0.00310642410196006,0.00404156165536684,0.00246849312768152,0.00562912353476678,0.00251958337164073,0.00623707610966362,0.00319714767074038,0.00305490745955992,0.00382983789245669,-0.000732600732600645,0.00124100078688065,0.00534092207910466,0.00481610723753271,0.004859102429278,0.00271800904722939,0.00405742248650871,0.00505339432614382,0.00509842284948719,0.00315600921213498,0.00101362939705115,0.00115690712644282,0.00253930488331004,0.00418944010926169,0.00807530396039206,0.00854984193842634,0.00350064310572753,0.00442314873816699,0.000331627269501623,0.00137915927886123
7,,-0.00127533881343985,-0.000331759031114519,-0.0015745091633486,-0.00191796400967053,-0.00104193559944174,0.00026638432632486,0.00214433912204868,-0.000462122657185641,-0.00367860342336137,-9.93886540450663e-05,-0.00195232275698395,-0.0015700959689675,0.000185823017653274,0.000146209547848005,0.00172642832757562,-0.00261795145780447,-0.000316669428388308,-0.00356187782763199,-0.0011721611721611,-0.00161682436902737,-0.000648969494559161,0.000848807352611034,-0.000942300977355407,-0.000573638089568992,-0.000306566852306088,-0.00177709548022618,0.000724821607534115,-0.0038289120771849,-0.00613573384070468,-0.00389469514106527,-0.00038852954321714,0.00140887566313074,0.00387299634538443,0.00367474199887755,0.00119927072066196,-0.00124664777071385,-0.00237009139462013,-0.00288210696146401
8,,-0.00207684564628567,-0.00323185483119436,-0.00169732579075489,-0.00312349988852432,-0.00309552012014207,-0.0013697833632846,-0.00306645950786582,-0.00264884774140017,-0.00309102966816584,-0.00162193824792605,-0.0026622583049782,-0.00306462582178147,-0.00158606515067624,-0.00154674311144449,-0.00330603949204802,-0.002548540460249,-0.0029765488495842,-0.00201882606114887,-0.00279202279202271,-0.00353509056956844,-0.00467064313845511,-0.00103743120874692,-0.00293076786938163,-0.00151998664139858,-0.00295079092208648,-0.0064680619269052,-0.00223577000240357,-0.0030991441812857,-0.00641194463964767,-0.00412021309943596,-0.00247350254392568,-0.00130407627367183,0.00125416696211873,0.00161636646884587,-0.00132712474205453,-0.00219666715009862,-0.00381951127880569,-0.00438229356442947
9,,-0.00557518723435355,-0.00302310757566148,-0.00418640943952227,-0.00612281505699803,-0.00608725296504733,-0.00510862936474767,-0.00698819931441163,-0.00573228742849393,-0.00526896972075754,-0.00558056719201679,-0.002307290530981,-0.00324094675947302,-0.00488207746379736,-0.00353940509319539,-0.00350946086261273,-0.00591883000822518,-0.00460842081880439,-0.00320515080634831,-0.00402116402116402,-0.00369168372879624,-0.00832037008696183,-0.00432285142594769,-0.00284193601509864,-0.00525737766130527,-0.00485408845303377,-0.00929001946167017,-0.00323011011382207,-0.00469136504506558,-0.00921901717774235,-0.00504483672875674,-0.00425534117219099,-0.00222529671327141,-0.000329311269623327,0.000327173373720758,-0.00510137545356215,-0.00219666715009862,-0.00609220165720877,-0.00501734188102225
10,,-0.00315180775151413,-0.0047452724338065,-0.00454667154658068,-0.00607924147101537,-0.00544458442799369,-0.00523032778794177,-0.00992779906505707,-0.00640875633943797,-0.00548833058936395,-0.00715386843902726,-0.0056642714793535,-0.00426528744510958,-0.00274980526123156,-0.00473824238302938,-0.00404012530756428,-0.00664378931602803,-0.00644158096043934,-0.00471501866387487,-0.00562474562474553,-0.00547684574399368,-0.00853733899260559,-0.00323361507361422,-0.00259594011093043,-0.00645745734659626,-0.00640391644251947,-0.0130464814523921,-0.00486740698901477,-0.00584762067233426,-0.0112167278398646,-0.00522525109545346,-0.00512038316184664,-0.00574959876201498,-0.00468822662183634,-0.00176370282257458,-0.00535708349634728,-0.00252007800265507,-0.0073329050780716,-0.0067936364477237
