Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
23,,-0.012814594496678,-0.0133654279726069,-0.0124169901385414,-0.0125036591875743,-0.0110553828180719,-0.00559003821850337,-0.0122619490970662,-0.0150879759112287,-0.0131342011068891,-0.0104302625157475,-0.015121213665324,-0.0152654616214754,-0.0136649956255183,-0.0149002962373436,-0.0145478508491983,-0.00859663981204225,-0.0327569349506133
24,,-0.0149713433942659,-0.0151329771943387,-0.0162585785109653,-0.0142902037091247,-0.0139787739738759,-0.0105706590144174,-0.0141494704068579,-0.0156530862796383,-0.0145306746437156,-0.00791714159247548,-0.0187106587127691,-0.0171968817222473,-0.016739538732231,-0.0177373951747211,-0.0155831745405622,-0.0103670233513588,-0.0365653428474717
25,,-0.0151625822127712,-0.0188771405995128,-0.0181747664761074,-0.0166794379487885,-0.0156335236847085,-0.0116234731663992,-0.0148434120648696,-0.0180359683330987,-0.0165059497122529,-0.00909263363723181,-0.0209923913685571,-0.0184812760892605,-0.017721234952269,-0.0187137993544679,-0.0189272700636672,-0.0093619023741985,-0.0406228989244985
26,,-0.0147057339241195,-0.0148573915629934,-0.0149411992849302,-0.016356568456942,-0.0148282121587699,-0.0121498802423902,-0.0150469682845531,-0.017932364765557,-0.0163405778460499,-0.00823330841830648,-0.0185663594143793,-0.0199201840643356,-0.0167503266027808,-0.019763894415705,-0.0187409117992217,-0.0098758846920646,-0.0401957877584956
27,,-0.0134095597098056,-0.0131753689165067,-0.0154755209290564,-0.013622940092642,-0.0148502754882476,-0.00779014984379868,-0.0145010675135839,-0.0178946907409963,-0.0119765980434671,-0.0042690628328872,-0.0198560343937378,-0.0189061885114303,-0.0182498406092126,-0.018022947340496,-0.0173535780527942,-0.00632369578414559,-0.0451929884007285
28,,-0.0133989353309999,-0.0140021258105425,-0.0139738928602192,-0.0140749573812271,-0.0133058424248041,-0.00824906883312417,-0.0134000134162054,-0.0163218002155896,-0.0134281955356946,-0.00445552019171058,-0.0196305667400039,-0.0190317308179805,-0.0174407503179724,-0.0188519697572622,-0.017415697474276,-0.00694047456558492,-0.0462038181602684
29,,-0.0165862489727554,-0.0162353197197199,-0.0174285586627588,-0.0172175537685327,-0.0153356687367586,-0.00846503071045384,-0.0131316893084408,-0.0184974751339666,-0.0147419831394196,-0.00494193069298904,-0.0210555223116026,-0.0205672097980941,-0.0192099610881509,-0.0188335470368897,-0.0183578420334172,-0.00657497602843574,-0.0467732997149389
30,,-0.0143551294235264,-0.0147243502237233,-0.0139186182073786,-0.0152803368174538,-0.0143207555807814,-0.010651644718416,-0.011595765105375,-0.016811562534878,-0.0140345590451062,-0.00317463920501065,-0.0214884202067719,-0.019340758034104,-0.0175270532823713,-0.019036196960988,-0.019734822542931,-0.00766004981059746,-0.0476631146441114
31,,-0.013388310952194,-0.017223626811441,-0.0163507029323664,-0.0158076903208031,-0.0134933807253651,-0.00872148543978263,-0.0112811782204098,-0.0184409640971256,-0.0135108814687962,-0.00225856609426958,-0.0201536516966667,-0.0198042988582892,-0.0165453570623334,-0.0186493198331638,-0.0180161852152671,-0.00805981383560437,-0.0469156701036064
32,,-0.0173193311103591,-0.0177272833101066,-0.0162125163002648,-0.0194023039966937,-0.0181266799156961,-0.0110430756210758,-0.0107815402266413,-0.0184786381216862,-0.014392864755213,-0.00303682289631512,-0.0224353843524547,-0.0212528639338682,-0.0184008707969107,-0.0195243990508615,-0.0196727031214491,-0.00646075773557655,-0.0466309293262712
33,,-0.0145144951056142,-0.0173661711035161,-0.0153281218548146,-0.0187242780638161,-0.015302573742542,-0.00955833771443481,-0.0115495023281743,-0.0195240923032439,-0.0126472728341799,-0.00143977508378419,-0.0229674880152669,-0.0228173142154933,-0.0206123842596337,-0.0224444002299155,-0.0206459073913312,-0.00711180200487362,-0.0506884854032978
