Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean(background)
1,,0.0318235823185696,0.0341554830538761,0.0348566001244187,0.0332468078111635,0.0367479892646087,0.0351198205757245,0.0353251978430891,0.0377644235846348,0.037081650022663,0.0374723206697468,0.0416298066799245,0.0494053804091705,0.0456232790007625,0.0428986930073265,0.0392485129891342,0.0451380544934191,0.0369584906454368,0.0370719533660381,0.0377023484413336,0.0381927523626199,0.0434371781717769,0.041315457065,0.0788585212610728,0.0402955612803284,0.0301238835051273,0.0366708558049354,0.0390929716209526,0.0431750422285756,0.0402847138035421,0.0328008399036409,0.0336838861046478
2,,0.025559276369674,0.0234542482145994,0.0239593446972534,0.0243008991454575,0.029555221348721,0.0262447638172044,0.0276936392250736,0.0260996820034513,0.0260388210757993,0.0269870100324434,0.0370305793541302,0.0282546533701895,0.0337026131071623,0.0240397500988087,0.0251598812613438,0.0312903878536324,0.0252227301846807,0.0245998926644671,0.0280560630835959,0.0291100439256198,0.0293998885606299,0.0296383801194479,0.0558982759750862,0.0297710368366573,0.0244274062520954,0.0262318722108904,0.027058298226843,0.0239602477409763,0.0297480558084939,0.0238332241611292,0.0228849044253527
3,,0.0177017015004168,0.0206520475874449,0.0186343918172206,0.0177365365483261,0.0215234506520982,0.0184038499442785,0.0185269325429614,0.0208472325936285,0.0174231940096779,0.0188721884443584,0.0221156690965175,0.0221429062701427,0.0240197697257753,0.0208594457721144,0.020672673996713,0.0209766588105939,0.0210195153061212,0.0203283756868551,0.0199830011443127,0.0193096821573078,0.0202038150035602,0.021014863685251,0.0441585076143249,0.0220373800401045,0.0196630348242687,0.0188512028652884,0.024023296244607,0.0229782488670716,0.0187823636387014,0.0220069100364855,0.0187128618580161
4,,0.0157844806211877,0.0113415323439267,0.00935266986328687,0.0109395119401425,0.0126761370957,0.0130160139916063,0.010186224381028,0.00989553863787048,0.00934600135271594,0.00912914600225241,0.0140299912687301,0.0158618053973048,0.0139290524175322,0.0114955248238945,0.0136642455859718,0.0137757025752252,0.00930998844041784,0.0144288127283962,0.0125112391292385,0.0111505496197467,0.0108351626057828,0.0114712645639552,0.0244256300388369,0.0114541084416564,0.00917248745133588,0.0094606666291079,0.0106354970383266,0.0181734296163076,0.00914874358086348,0.0159976444681698,0.00696538447780881
5,,0.00807687103850245,0.00729839104953945,0.00626096414448203,0.00370500249407329,0.00977668088314741,0.00754031505161134,0.00543228980525983,0.00547243545015806,0.00190135449403372,0.00687631982088579,0.00787694379882205,0.00330175996803074,0.00613155083037287,0.00529559139533405,0.00766500297281199,0.00398426750459953,0.00407584718093558,0.00439083326134755,0.006244518789686,0.00502435321795585,0.00870095447890962,0.00886517087066273,0.0109385631975495,0.0055675868637131,0.00632182549404298,0.00635089385198428,0.00594503942941638,0.00839105027523736,0.00475671384676954,0.00862481302351068,0.00380392200195621
6,,0.00490818086287258,0.00322410760169635,0.00220058230949647,0.00042282119550759,0.00335253598511624,0.00341500608231147,0.00501480593627348,0.00297933698990322,0.00420573048833654,0.000580660160835377,0.00251765210863382,-0.0031133642627065,0.00145768965112791,0.00288240362159236,0.00506869030742433,0.00364841107569515,0.0031728544964341,-1.36987549472156e-05,0.00259207959269757,0.00244307135311822,0.0024316358655695,0.00450153109285217,0.00154863946776491,0.00488821663170118,0.000139547760588393,0.00240165341575945,0.000755488485486851,0.00628372136246614,0.000931159121964025,0.00750126276787931,0.000803508713572853
7,,0.00391466083933297,0.00728178190102971,0.000244488964173827,-2.73710177571898e-05,0.0044758350042711,0.000147666504500596,8.12378596861987e-05,0.00164600462764138,-0.000514346554012748,0.000158048558551703,6.6994419257123e-05,-0.00373463219217665,-0.0023216737848715,0.000948068809856221,0.00572835612286534,0.00296087739472661,-0.000987596028546347,0.000651205577787912,0.00109295036541172,0.00265441293619622,0.00163129516558449,0.000846628829329615,-0.00194352813646441,-0.000579707856255031,0.000848500913402405,0.000433485677732466,0.00330425976567015,0.00520059256667739,-0.00141465308796462,0.00153831873518573,-0.000318709364627112
8,,-0.00383829752761514,-0.00226580916467014,-0.00156572091594023,-0.00620273744621239,-0.0026855799331379,-0.00195627165033884,-0.00225756872841691,-0.00118594669836758,0.00224209485096798,-0.00191105993491927,-0.00266419230860859,-0.00504326744235837,-0.00235954948324466,-0.000825704088211782,0.0020184268720453,-0.00131922399234653,0.000729806036614331,0.001207357088273,-0.000620754418584294,-0.00391079690653478,-0.00450461646121448,-0.0017236041801672,-0.00444484644828339,-0.000722892239923978,-0.0046545223593126,-0.00333879549215224,-0.00163568657096157,0.00241880907217406,-0.002130925440135,-0.00368822965809422,-0.00335628785011879
9,,0.00219948899889854,-0.000407462947176993,-0.0023862844477497,-0.00461673995729017,-0.00226403219452461,-0.00110643219570764,-0.004542476961443,-0.0038493148904867,0.000102188281101824,-0.00364214876956219,-0.00473115191049377,-0.00608161672509337,-0.00583866910193203,-0.00238316598190932,-0.0037848804518564,-0.00412281862192984,-0.000948155794888508,-0.00355991214976062,-0.00236612664782744,-0.00146791961273587,-0.0030844090043419,-0.00284413411798869,-0.00902122943688559,-0.00487240590226418,-0.00285496723643905,-0.0023065599905019,-0.00252911810404699,-0.00274001957000648,-0.0043331185613508,-0.00531259745768879,-0.00170734921979851
10,,-0.0026634946164904,-0.00457319557580334,-0.00327875771255108,-0.00126809574144575,-0.00295021661162574,-0.00285556200530557,-0.00268402181519729,-0.00480668923155889,-0.00272491183456016,-0.00697552389119957,-0.00682455840057486,-0.00755736649641802,-0.00839117554146152,-0.00213388142998982,-0.00366403668187549,-0.00576983869569526,-0.00420228951544639,-0.00594948417737638,-0.00374339344123479,-0.00281967092321378,-0.00536781432253649,-0.00445143790909826,-0.0106878338759055,-0.0071676062370513,-0.00469422373587018,-0.00422318854384747,-0.00368536451612573,-0.00404235430458138,-0.00480519794956712,-0.000144982513931637,-0.00206675518723617
11,,-0.00230788830821175,-0.00654385127369595,-0.00415843418215866,-0.00476003233491984,-0.00344623680960913,-0.00313608212017904,-0.00336642980235886,-0.00526521388994709,-0.00631587771399102,-0.00568184154607031,-0.00753906079916583,-0.00743968138202499,-0.00705376885036514,-0.00242577097805558,-0.00317096688711893,0.000119953894812384,-0.00537786003347472,-0.00180688158214876,-0.00562398184632799,-0.00204731483287242,-0.0041358746918904,-0.00484516027378405,-0.0123218061435433,-0.00573538460515507,-0.00469422373587018,-0.00279856159700818,-0.00699615988989779,-0.00193502539181,-0.00225408539209182,-0.00531680142898897,-0.0039265813919525
12,,-0.00642486197258442,-0.00692210485821103,-0.0056091779572825,-0.00811118458537851,-0.00745715245503811,-0.00665917906940739,-0.00646388272887257,-0.00668118955295157,-0.0121707787511863,-0.00832429543407289,-0.00555842453862042,-0.0116649004361955,-0.0114537413857493,-0.00622577403859011,-0.00826553953190689,-0.00830696102931595,-0.0118794792347484,-0.00649350457964496,-0.00955982560150325,-0.00610403336294171,-0.00827877906148595,-0.00598357398118684,-0.016532538101105,-0.00829863063971265,-0.0062905284348606,-0.00616885325757684,-0.00610272835681236,-0.00747311857346672,-0.00591748626567771,-0.0076691569253969,-0.00340584144626328
13,,-0.00978538648560315,-0.00955376512120231,-0.00753571483370608,-0.00457067572154106,-0.00830010176453282,-0.00856508986317565,-0.00860511738056852,-0.00883543514745229,-0.00968584720044042,-0.00806703845377,-0.0113085715599704,-0.0115245739995831,-0.0107427829642037,-0.0110420648928368,-0.0132655461863932,-0.0102151797913242,-0.00965645157727112,-0.00528056461868236,-0.0104603256529743,-0.00749027597128177,-0.008153267177335,-0.00785568796458443,-0.0195809869644883,-0.00897800087172457,-0.00811998849072569,-0.00750661369126746,-0.0111872924046362,-0.0151902609151984,-0.00753274524084908,-0.00825833571798416,-0.0064681967298271
14,,-0.0106847292071714,-0.0107075077587586,-0.0106401347877356,-0.0100784869368264,-0.0105958121607394,-0.0102702135925355,-0.0110651745055167,-0.0112627562867078,-0.00810632434134949,-0.00960701215690234,-0.0128696362312138,-0.0125297491838281,-0.01038138567556,-0.00996662867362362,-0.00967637566419588,-0.0123099395009136,-0.00828385957311103,-0.00664258052216371,-0.00878111167681372,-0.00752857522559573,-0.0120215636907196,-0.0104223814780182,-0.0160560558722916,-0.0106414331706533,-0.00807544045261425,-0.00767389423747961,-0.0107405766380935,-0.00829494951703622,-0.0096116771272528,-0.0110189435384312,-0.0100389035600442
15,,-0.0116469316296977,-0.00738360191323347,-0.00865233841432013,0.00361036598796082,-0.0131423463847756,-0.00917565557983442,-0.00955236643759237,-0.0118999836668321,-0.0126935028725452,-0.00831324278302465,-0.0123301371687059,-0.0153637294825769,-0.0129222926824627,-0.00968142448399557,-0.00686456819716747,-0.014793705332898,-0.0109534872340365,-0.0126106586129436,-0.0108762756386171,-0.011082570274088,-0.0117626448200275,-0.012981902854693,-0.0218023383170045,-0.0125840561279761,-0.00685573166839854,-0.00874799020368339,-0.0117785100027946,-0.012105087655043,-0.0104675172539269,-0.0106528087787142,-0.0103738175201922
16,,-0.0100852048092811,-0.00782018524549129,-0.00825051904523704,-0.00603394671667077,-0.0105016801414375,-0.00955239237861825,-0.00888797993433168,-0.00904610656715646,-0.0081741266360672,-0.0105993139462843,-0.013217286249976,-0.0100591081987901,-0.00922751830616337,-0.00875363270621482,-0.00700820305114194,-0.0118781240923222,-0.00731186893997779,-0.0111156276707794,-0.00997569928004904,-0.0111791605540881,-0.00953420156077975,-0.0107696246707198,-0.0180580428695007,-0.00976740395794115,-0.00779773705762845,-0.010365626961075,-0.00962372928194852,-0.0107352965293304,-0.00710988932027351,-0.0105265339370682,-0.00628237074428591
17,,-0.015666360508119,-0.0149397758454033,-0.0119978334778057,-0.0132147842219943,-0.0141029607183978,-0.01304244747438,-0.0134174349203107,-0.0100036342353171,-0.0135555391428565,-0.0100921104005451,-0.0126370258119315,-0.00688857667086093,-0.0101395335599065,-0.0154617666872113,-0.0141635829288266,-0.0152307943492093,-0.0110092785440629,-0.0121351533429958,-0.0108550622656564,-0.0139298232511017,-0.0120372526762385,-0.013064242710473,-0.02250586692135,-0.0100759681937237,-0.00953789479635342,-0.0113239815657483,-0.0117259006751654,-0.0188317034105383,-0.0119246736920878,-0.0131019334663464,-0.010317856131443
18,,-0.0121523909750823,-0.0118403900966983,-0.0104667588528528,-0.010891926163394,-0.0126914920159292,-0.0123384247771477,-0.0107688581250625,-0.00958052813438996,-0.00656859535793835,-0.0109668363508239,-0.0120615659641537,-0.00850274536813493,-0.00971414212255316,-0.0131339022169222,-0.0175568181617658,-0.00979939201403822,-0.00820839306679504,-0.0113171578417831,-0.010725187586595,-0.0127347839946039,-0.0128846603327802,-0.0151655856362629,-0.0162879609614702,-0.00906980510716398,-0.00922554292728099,-0.0108994890321348,-0.0125273238246881,-0.0169899362061519,-0.0118652206560692,-0.0123192162913105,-0.0102000951429045
19,,-0.0105523870867608,-0.0109985633135971,-0.00907521057549611,-0.0114470378246899,-0.0145950343876216,-0.0122697305400303,-0.0104502017484361,-0.0109374728682927,-0.00565604562637403,-0.00621480560133914,-0.00851026385183155,0.0012625481338545,-0.00999678952166269,-0.0114617694293414,-0.0143138510087396,-0.0108867892450602,-0.00691459168887192,-0.0142064119254398,-0.00915196416814061,-0.0122720440557714,-0.0117940227910653,-0.012047569038709,-0.0220797446028991,-0.00950672526471822,-0.00879924295146526,-0.0109444950807299,-0.00840189502969785,-0.0150216746021768,-0.00966718013191764,-0.0103119756981187,-0.00634417034407511
20,,-0.014160309422837,-0.0134513786381702,-0.0118921567174962,-0.0127389264545099,-0.0153752046562928,-0.0129599547205777,-0.0101988145052649,-0.0113503827178293,-0.0121751385439729,-0.00968046442056115,-0.0150157619307684,-0.0107257417079454,-0.0143209317525957,-0.0149239919220248,-0.0174914213573216,-0.0172615469376499,-0.0147559210594111,-0.0115467945944995,-0.0154424923219513,-0.0153178966077359,-0.0130808232613968,-0.0154983914108129,-0.0245053589034433,-0.0160138699198964,-0.00909664235404207,-0.0141025808024925,-0.0138805655164352,-0.0172217150541455,-0.0146173796811714,-0.0139814976839271,-0.0120475329485846
