Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean(background)
1,,0.0300897126701186,0.0535445045102466,0.0479178437790048,0.0461388267781581,0.0374947415106638,0.0381643056962003,0.0398533822274421,0.00262899512137243,0.0277039919320325,0.0256985122914676,0.0259970724555893,0.0246831017639026,0.0212534332693833,0.024685694920776,0.0264707004229412,0.0211340233689241,0.0310721031547679,0.0230613224281113,0.0318300190508396,0.0254182721370976,0.03159700608494,0.0252155999957961,0.037293440862696,0.0272119247665065,0.0360581391506658,0.0351307428775949,0.0290691261336084,0.031649658640773,0.0234904292780576
2,,0.0225669274321418,0.0332352855929264,0.0257863158740106,0.0321067665741417,0.0249020197417792,0.0219752309403092,0.0239197972509761,-0.00564281763129101,0.0198399902394553,0.0198125497568636,0.0206502764023658,0.0172987135307559,0.0177429518872891,0.0188523465824166,0.0158685113750377,0.0188361280741869,0.020266371786773,0.0173808717314123,0.0222356201821063,0.0190409895879611,0.022494719064029,0.0217291408629057,0.0227964177172374,0.0184517122071773,0.0227251159802165,0.0232463865245333,0.0191835776586078,0.0205538418126596,0.0181625928970201
3,,0.0139777633851044,0.0183766120686471,0.0172224918918075,0.0118631378386908,0.0135280297441606,0.0123636435750576,0.0138556140504144,-0.010280848853005,0.013494964149121,0.00973079842997315,0.00982910176274112,0.0111887188763578,0.0119876368506438,0.0120887264844242,0.00353185590222903,0.0100184604175977,0.0187630289480691,0.0106369294613118,0.0120375229989833,0.0095268540593507,0.0119386448996276,0.0109235325481759,0.0123090264723611,0.0106906781524637,0.0123845229015953,0.0134275044618198,0.0105515760198065,0.0141084486707507,0.0130421551821903
4,,0.00864701482895503,0.0103764417466933,0.0080594518136967,0.00913869057617917,0.00748287323762862,0.00671696653716216,0.00760330357999723,-0.0162118844865965,0.00833999320256518,0.00393888388994384,0.0062822084392097,0.00556120798359661,0.00661871925689692,0.00691265009619203,0.00131423467715013,0.00560356014572496,0.00748743798372072,0.00423092803553196,0.00763366231345058,0.00423965521261349,0.00740357399278488,0.00946998067981884,0.0080848767888897,0.00438863895423551,0.00709037397803955,0.00817250755093288,0.00259180218863308,0.007795396378001,0.00767896047766493
5,,0.00362060842234019,0.0065104560665663,0.00428982422486365,0.00146802260925333,0.00663301128507964,0.00535186944118979,0.00593782828045919,-0.0140173876402343,0.00476684938769631,0.00266772947356925,0.00430487697733086,0.00342218104112298,0.00607330087849495,0.00545734191459816,-0.00234992618423191,0.00344436581097809,0.00732856619730953,0.00356652850685201,0.0033634961230963,0.0014860444922962,0.00455742480930474,0.00175548750693266,0.00791623401181911,0.00472266194657916,0.00562216213122347,0.00640691535087769,-0.000989364503813615,0.00317858529854337,0.00642672335239425
6,,-0.000279066215426383,0.0003652996498222,0.0011808588026439,0.00105565069559049,0.00220216415595109,0.000877988131060485,-0.000305444727092309,-0.0216881729081615,0.000867534391471004,0.000905567048905525,0.000465236135810187,-0.000949280951314538,-0.000804532856620949,0.00115781411180732,-0.0061118229165757,-0.00242997372048813,0.00184444576086959,-0.00229076485046578,-0.00137683034579663,-0.00326055023204131,0.00149539235390071,-0.00154679759475225,0.0047499463233108,0.000526389712545114,0.00257053410012609,0.00345373184373171,-0.00296187194187397,-0.00169151575895436,-7.23574941747726e-05
7,,-0.00204834580645124,-0.00127763583968399,-0.0013647106836078,-0.00397485858336621,-0.00145377919758766,-0.00127509098383739,-0.000991323605293549,-0.0222812959885685,-0.00199347028358305,-0.00426524334388643,-0.00244948079076584,-0.00295175235387955,-0.000359763218947576,-0.00260846734774419,-0.00455503591793258,-0.00237574339153236,-0.000339744345674187,-0.00240871794825183,-0.00416759536685918,-0.00638835024476344,-0.00339094776727517,-0.0060401560779372,-0.001015056183426,0.00025364473541154,-0.00207840876186335,-0.001424956715987,-0.00508615442746751,-0.00278336292414729,-0.0014274652418426
8,,-0.00340503452291313,-0.00488149433279405,-0.00379758227762137,-0.00355300802710053,-0.00244801437836408,-0.000580147805700817,-0.0024964915278089,-0.0252942402313395,-0.00231811408876824,-0.00166536508654036,-0.00249309621489865,-0.00332950297695755,-0.000259216349413934,-0.000607558087006393,-0.00546853727544964,0.000163522824964125,-0.00328354946089072,-0.0023496544132984,-0.00136196670970302,-0.00771611870168351,-0.000357926585244607,-0.00728798596000297,0.000962912462323816,-0.00100301705198348,-0.000114890331004506,-0.00101924245111067,-0.00694616225144631,-0.00290044449367431,-0.000786706123388098
9,,0.00700144806653419,-0.00357762408949883,-0.00484244605528339,-0.00143458236583444,-0.00391782454741082,-0.00475001784694874,-0.00448258158139248,-0.0258201270823287,-0.00249933727147927,-0.00500180915952041,-0.0015526448133578,-0.00307922914987367,-0.00287486115401788,-0.00347258148930723,-0.00347620413863074,-0.00300895141895012,-0.00630048014134792,-0.00403457440158474,0.00682218601240542,0.0334234911191772,0.00110544144173639,0.0172277323889528,-0.00225693950854614,-0.0019165219542017,-0.0034002215310431,-0.00461680851781006,-0.00740929986724559,-0.00368492616913588,-0.00292511123107025
10,,0.000945103724561971,-0.00784287232483406,-0.00568753995923559,-0.00638386069689448,-0.005478466389714,-0.00581099818782594,-0.00477640671337171,-0.0287817414895791,-0.00354039686975866,-0.00832404918755318,-0.00589668171627924,-0.00445816867658505,-0.00210705795677929,-0.00519244043520775,-0.00668743276342808,-0.00379299329351449,-0.00198273103028468,-0.00594165678791352,0.000127369626872244,0.0106704567710764,-0.00302347163787854,0.00349867641685874,-0.00668048907526165,-0.00384758876559849,-0.00581364430034854,-0.00455282881941993,-0.00320732564532469,-0.00343796492458392,-0.00420673996274018
11,,-0.00456219334740774,-0.00650153055778255,-0.00702438947927673,-0.00861470509784692,-0.00605054215706138,-0.00540772439152717,-0.00736822195664511,-0.0268877095929656,-0.0052809183856317,-0.00545687662983682,-0.00679045175684334,-0.00551411082959938,-0.00364785978220506,-0.00604818523954512,-0.00716798777318564,-0.00583766052677162,-0.00423329093918899,-0.00612980763637317,-0.00493448075962351,-0.0027971625907592,-0.00603401803714141,-0.00756412503725414,-0.00415045643903963,-0.00470282174391864,-0.00764455934724423,-0.00526599501376144,-0.00636171823359446,-0.00213389422976182,-0.00465943699814406
