Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean(background)
23,,-0.00837479195370389,-0.0105101401626771,-0.0134847440126499,-0.0111491953692162,-0.0150024874483934,-0.0170940525373886,-0.0140239812787788,-0.0117197767348096,-0.0123598256530081,-0.00987932138003004,-0.0133767890962389,-0.0112761096420666,-0.0211327132500269,-0.0115866733770792,-0.0142964402923487
24,,-0.00770350471915563,-0.00921730386247556,-0.0127117067995307,-0.010582124962358,-0.0150592585504212,-0.0159472092987163,-0.00961279528669595,-0.00812892375715037,-0.00959827663305549,-0.010004625133527,-0.0122341724478319,-0.0149789304505697,-0.0189155900516461,-0.0114758850610453,-0.0120878806841315
25,,-0.0106444172262623,-0.00826652792472322,-0.0122059236544449,-0.0119737441664023,-0.0164124598019006,-0.0138295139423147,-0.0107258218078894,-0.00832845093954053,-0.0109294827370635,-0.0138852086712399,-0.00645024518686136,-0.0193729864482582,-0.0172947696184681,-0.00911815737297851,-0.00972709152789272
26,,-0.0110706284185516,-0.00762152251747208,-0.0132865111243592,-0.014676237351284,-0.0171790576630568,-0.0141348577933166,-0.00799487777568523,-0.00702811547526154,-0.00930061564085493,-0.00816605052927418,-0.00967708751215143,-0.0140411429832163,-0.0193305170796299,-0.00995947552031854,-0.010072251387965
27,,-0.00818306141086905,-0.00796905725846329,-0.0121972960069771,-0.012437617234417,-0.0169197340364103,-0.0152251696490994,-0.00605661439617957,-0.0052470967579165,-0.00951826562561213,-0.00685129475336571,-0.0099191900232682,-0.0166986858268247,-0.0188378146941298,-0.0102813018516274,-0.0105325610964457
28,,-0.00885784973173523,-0.00662068250498858,-0.0137519980806834,-0.0128630745265948,-0.0168970819907335,-0.0191373644952515,-0.00617613704054507,-0.00425446038812077,-0.00938388388137789,-0.0107688306136783,-0.0117295093167255,-0.0133215769652215,-0.0126962640689599,-0.00871405898284032,-0.00904213098308296
29,,-0.00958239033185693,-0.00891427052124549,-0.0164073849678173,-0.0150043678119178,-0.0190338936355995,-0.0174252074276838,-0.00783200681334828,-0.00444426118849934,-0.00987021383580652,-0.0155634927484702,-0.0123313707991585,-0.018171888924912,-0.0217636996206088,-0.00936966721913074,-0.0119320300716945
30,,-0.0109819035205459,-0.0113941640007877,-0.0167005219782544,-0.0168924053525144,-0.0184131711889252,-0.0194119136192585,-0.0110922140224452,-0.0052710945602632,-0.0131150026147021,-0.0150376100935976,-0.0149857434228854,-0.0192398500697357,-0.020570868871986,-0.0127258181485776,-0.0133926226142744
31,,-0.0109391534139263,-0.00879197996833061,-0.0167263034189229,-0.0164851775303718,-0.0179172699731992,-0.0199709048592782,-0.00984356662261891,-0.00359588433508319,-0.0135310097421294,-0.0144008704709253,-0.0160243721292483,-0.0216026967430819,-0.0189501985842859,-0.00982929260699338,-0.0129434657841931
32,,-0.00893238601676807,-0.009236729076657,-0.0167981666472434,-0.0175791517151969,-0.017614428101124,-0.0166320572490638,-0.00928156737157355,-0.00154807186816399,-0.0104782306773385,-0.0150192322097514,-0.011826797004772,-0.0215573303832237,-0.0193477838095806,-0.0109220320406806,-0.010786759818404
33,,-0.00998381751836897,-0.0098623092697267,-0.0165596375701911,-0.0146397784112136,-0.0158806536838989,-0.0152753040597147,-0.00993853721136972,-0.00272578219848204,-0.0105133920908392,-0.0167201201013382,-0.0141122983117459,-0.0207895278887266,-0.0206876069809992,-0.0110343258733992,-0.0117964574199833
34,,-0.00953623127276983,-0.00830272946024321,-0.0170051286847369,-0.0148726418674261,-0.0158257624196866,-0.0160553627601919,-0.0100362957624798,-0.00241817400476514,-0.0111118042707262,-0.0155676204015266,-0.0139968752695456,-0.0192597557174286,-0.0267124194971562,-0.0110447759303872,-0.0126947710801462
35,,-0.00959657894482986,-0.0105017520020078,-0.0188184571790088,-0.0187723065759765,-0.0172737074970666,-0.0162525531497185,-0.0116433312268628,-0.00268978549496205,-0.0107118327523063,-0.0169624723022195,-0.015245981288156,-0.022225974976888,-0.0216643783870239,-0.0125731410447866,-0.0157014132855087
36,,-0.0101152003891439,-0.01148872947528,-0.0174534618478602,-0.0158997746621222,-0.0176938512488284,-0.0176157776947404,-0.0103266935191809,-0.000480896869867098,-0.0114030343155643,-0.0184189441663968,-0.0169362320299746,-0.0209340521494176,-0.0199182615525967,-0.0116450342885631,-0.0162564500390952
37,,-0.0068688641677184,-0.0107769719683873,-0.0183413990249042,-0.0180896798675391,-0.0191096510995637,-0.0134225623689085,-0.00975120412768802,0.00161736552244007,-0.0117614134731212,-0.013644822019433,-0.0155084525714256,-0.0184438093308372,-0.019403938218289,-0.0128081787672119,-0.0142185149861301
38,,-0.00789882848215902,-0.0113024240119946,-0.0178729685182675,-0.0178344672870462,-0.0173872497011223,-0.0113970280432964,-0.00839391613012409,0.00230475711844696,-0.0118606338038547,-0.00905762358945061,-0.0147572200932041,-0.0155484171434012,-0.0225546659978187,-0.0125297467403449,-0.0133888567072824
39,,-0.0098346528144528,-0.0087641665934799,-0.0180827726043386,-0.015085319017837,-0.00594580482093244,-0.0133255664172137,-0.00750626488867451,0.00239611238874403,-0.0112814309472579,-0.0153334252293043,-0.014481169628499,-0.0185344494661456,-0.0198404861950806,-0.0105792170355907,-0.0134650439025817
40,,-0.0086198679959628,-0.00845839606297882,-0.017861498822222,-0.0185759020598344,-0.0138384918730429,-0.0108558144355274,-0.0101312663512306,0.00306659644218853,-0.0111982462255319,-0.0185135853543321,-0.00419654775219658,-0.0178063656826263,-0.0225676535816511,-0.0102723573113241,-0.0160449798772381
41,,-0.00766803318672342,-0.00937579595091031,-0.0161832691371231,-0.0191552284380721,-0.0159544373181567,-0.00921632994833216,-0.00579877284509193,0.00603259755116879,-0.00988950667789366,-0.017508993222374,-0.00867472951409619,-0.0209793259248679,-0.0228701216467402,-0.0101136581407942,-0.0108722169386065
42,,-0.00890050770450428,-0.0127481014292326,-0.0199564946308855,-0.0215395813238647,-0.0181992456455225,-0.0117281085501929,-0.00927886934348408,0.00363863496555152,-0.0115758347063789,-0.021303190878264,-0.0122839330008547,-0.022990907354741,-0.0179258310617887,-0.0119982993506409,-0.0128693063849664
43,,-0.0048620046367097,-0.0109660146209436,-0.0205513962992274,-0.0208304858369017,-0.0182900418120106,-0.00967349031575195,-0.00769359797235634,0.00287197790118734,-0.0104974400006287,-0.016033946919443,-0.0135465288641805,-0.0236254808863078,-0.020341746872817,-0.0112364193483708,-0.0115477627159362
44,,-0.00826819308870627,-0.0129649574566398,-0.0232612896180113,-0.0243169492246538,-0.0216212084129472,-0.0132868870499734,-0.0118414564229027,0.00530666403018086,-0.0138446228245404,-0.0196536038175207,-0.0181016295419737,-0.0261836806602675,-0.0255584764272913,-0.0129878666115227,-0.013945776414365
