Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24
1,,0.0666234205165002,0.0456922649923001,0.0549845438853665,0.0518505002584923,0.0550564073401875,0.0468852329317446,0.053027194500443,0.0649053584960272,0.0524486084241626,0.0507326699464611,0.0591983580540076,0.0562335145784593,0.0663985904120976,0.0557822559181985,0.0567087770812755,0.0581489356807402,0.0503327000569234,0.0565262711636843,0.0533304913861935,0.0451457858211335,0.05242181701177,0.0601184143039965,0.0525150251973825,0.0526933006607448
2,,0.0348878297154876,0.021290098818937,0.0251339935303216,0.0240035183014839,0.0258373944070237,0.0246271641620479,0.0259496468619977,0.0323431334910525,0.0259394720015835,0.0210054641544804,0.0239442502058399,0.0275885757243864,0.0338933501974776,0.026467687633023,0.0261156313295334,0.0265496468701422,0.0262756908725418,0.0251738703411821,0.0226019379372876,0.0191642757301553,0.0271439000876318,0.0232142274216366,0.0244424695781172,0.0248720080514593
3,,0.0184328559829801,0.012343493204728,0.0141851884595887,0.0129246115013838,0.0139497568713796,0.0131377108121294,0.0136834781367635,0.0181189352018422,0.0116850427453417,0.0104722927050034,0.0145985227259168,0.0140786933201858,0.0175164365745105,0.0152322469562275,0.0141166613500186,0.0141021891093371,0.0115900824621951,0.0138469713157674,0.0115555600665827,0.00958826847151733,0.0117626410913626,0.0122591614505614,0.0135262793285144,0.0158491226534809
4,,0.0110651659600137,0.0042693099353083,0.00830155696177592,0.0071418712966017,0.00724867273169544,0.00669412297319272,0.00737199119087699,0.0167923260349728,0.00673188495342449,0.00706078570337348,0.00822166270897222,0.00918323039733519,0.0105758866602234,0.00741089046298851,0.00755220243745883,0.00729922209551095,0.00969945089927636,0.0108606408974289,0.00851061670252927,0.00821501262904929,0.00648523606332398,0.00653818255455528,0.00837278378081342,0.0102831138143788
5,,0.00335495524338019,-0.000280971313983487,0.00338308811124217,0.00433471585738717,0.00126198988622084,0.00179769947211804,0.005120154139832,0.0104540822377082,0.00138903772860291,0.00429252581316198,0.0016538787394247,0.00266259342881312,0.00352595845215798,0.00150607668188255,0.00327838609626061,0.0021559161164589,0.00340415877626063,0.00416377459145458,0.00106742181262093,0.00302851958115714,0.00457171969057104,0.00156967283636054,0.00218200318677019,0.00267798538485098
6,,0.00199885290518703,-0.000888245691238564,0.000719239204752153,0.000479555720865916,0.000240396035501418,0.00254490952165374,0.00110014926349468,0.00704375867237241,0.00113266310169202,0.000421556589090255,0.00096655251005341,0.00253297832087622,0.00134833605784716,0.00266220973495062,-0.000618780963069159,6.07994636500536e-05,-0.00145016550690891,0.00523787708524394,1.69163520218786e-06,0.00190048799627261,0.000318106861967211,-0.000200842876136443,0.00154810676956099,-0.000752636415350269
7,,0.00136973326375724,-0.00164947695286818,0.000688354000039297,0.00057312756883965,-0.000438285193997489,0.00202625784021126,0.00121115531530684,4.89103379703452e-05,0.00145056763906151,0.00088101881153207,-0.00120998054962234,0.00467661279829556,0.00195488841425342,0.000799981998465086,4.99636802477307e-05,-0.000900489353520949,0.000348489385381324,0.00138087267572769,-0.000294344525191867,0.00120159886215961,0.00327979143890331,-0.0019270956958211,0.00242074339584896,-9.62674484749983e-05
8,,-0.00237702371186873,-0.00320615211709956,-0.00223029784533227,-0.00298260265416541,-0.00218856836481051,-0.00247458386993278,-0.00138162889487529,-0.00421901915342244,-0.000456859585155099,-0.00239264952336547,-0.00138181210696516,0.00282211971550484,-0.00292736088075376,-0.00410388437428001,-0.00178716240886445,-0.00412943384196741,-0.00178741329921333,0.00013589023974456,-0.00344924417739171,-0.00225606316976872,-5.97212116335961e-05,-0.00292301078410056,-0.000806365637216119,-0.00228416400472582
9,,-0.00246090633072604,-0.000357949756170755,-0.00226890435122362,-0.00258960089267536,-0.00225286448128926,-0.00284379354146792,-0.00358589192371499,-0.00486892364426234,-0.0053279774964607,-0.0034608991905424,-0.00378745390976454,0.000628633273494399,-0.00201256060551821,-0.00305638127250678,-0.00343980721706159,-0.00386651724239928,-0.00295245112717408,-0.0022808403712814,-0.00543691554003769,-0.0043895142107456,-0.00113226542056531,-0.00398532021159881,-0.000205398904017825,-0.00294928455782613
10,,-0.00511718926120744,-0.00399304285945827,-0.00405252492339516,-0.00490082553762868,-0.0045532366486435,-0.00452281847630683,-0.00503689960097288,-0.00691913781124231,-0.00447681373511678,-0.0054021270803589,-0.00559168526186404,-0.00149506041808838,-0.00481662231874022,-0.00458495987287196,-0.00539992082678372,-0.00481958991583386,-0.00537450345372391,-0.0027039716567135,-0.00655339477352399,-0.00429142450771223,-0.00544681826104019,-0.00516935259433118,-0.00384412898721873,-0.00412199711197658
11,,-0.00536883711777935,-0.00539576113931512,-0.0028093954336998,-0.00298260265416541,-0.00465325282983288,-0.00324816603886373,-0.00566329089334097,-0.00873485035781592,-0.00251811158551806,-0.00364468407951916,-0.00485662804434201,-0.00393780668305461,-0.00198273016176052,-0.00453064489722443,-0.00580731698880438,-0.0057233657268494,-0.00213488072158764,-0.0032247486233993,-0.00357611681756061,-0.00469604453272512,-0.00243638167460714,-0.00359801989949012,-0.00267512520483294,-0.00347437973132635
12,,-0.00965384089773986,-0.00702941474573377,-0.00586703070027955,-0.00606111645250412,-0.00609634344413583,-0.0058941686848664,-0.00724116262981258,-0.0105170626729031,-0.0060355714667346,-0.00684943308105028,-0.00675632137274312,-0.00558292151456251,-0.0050353789062966,-0.00370816098027672,-0.00500021138480122,-0.0054686652710177,-0.00837907469425412,-0.0100436720309406,-0.00453189070683293,-0.006829495573702,-0.00667780650083669,-0.00500336674628458,-0.00647027128708551,-0.00644116746160245
13,,-0.011925661825125,-0.00901374792211661,-0.00897871507510718,-0.00892441500050294,-0.00921113308688879,-0.0082764501369153,-0.00957228971786613,-0.0125203765158018,-0.00907104704935868,-0.0072859221923699,-0.0119589990811784,-0.0109270521187334,-0.0112500546891469,-0.0100940502599749,-0.00902036596474116,-0.0109159685683206,-0.00816446246278766,-0.00883937529547985,-0.0105371956748271,-0.00825179626768665,-0.00736033463379314,-0.0102042566517446,-0.00891530032489247,-0.0117008707828294
