Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean(background)
1,,0.0385868096190853,0.0426063197179748,0.0465762159021589,0.0322771572980613,0.0337328618113667,0.0317835223669508,0.0333969839244626,0.030454863002759,0.059513411268546,0.0350541424663139,0.0362317387977138,0.0355098449488008,0.037270352761071,0.036863806276829,0.0477697315379359,0.0496466465773336,0.0337422628430107,0.0294874387662441,0.0369358949192306,0.0204775674979377,0.035201931982797,0.0272849517059992,0.0375837484353246,0.0282848362947453,0.0434698118424956,0.0597784482730791,0.0353144246861786,0.0191018067460803,0.0323060113657996,0.0365164037729365,0.0338344553805168,0.0310398054851384,0.0334857412747634,0.0325423077019067,0.0367273593057479
2,,0.0327988133587114,0.0272068428986352,0.0305754030943745,0.0186205152527618,0.0221607693774788,0.0202216503213622,0.0217700263172901,0.0192175102510414,0.0332998195518981,0.0207556699445534,0.0218048744135977,0.0217076898867204,0.0217311630389703,0.0208157310401396,0.0267653639688751,0.0290859853372059,0.0250479764502475,0.0222111278343795,0.022429664902839,0.01368587700539,0.0242649808125849,0.0198291292184177,0.0208037888407491,0.0135316110329163,0.0272710754687832,0.0398003853929805,0.0210916060255569,0.0189257842229121,0.020483836974703,0.0218763276009673,0.0223431787844946,0.0225284957404543,0.0191244824514117,0.0372712735372689,0.0241314746653819
3,,0.0205864991057433,0.017395967433147,0.019644724675501,0.0123981845930314,0.0218817111681451,0.012754751627024,0.015364853734371,0.0142518814115024,0.0163668409155857,0.014427371350414,0.0186841580362676,0.0178530596347041,0.0162571027462683,0.0113146459903963,0.0160716016683598,0.0187554959329326,0.018041015112504,0.0131840209158762,0.0142880663205361,0.0053062976562091,0.0170653817439836,0.012028625977861,0.0149169674006523,0.00922123449309076,0.0207473621267084,0.0244580195885628,0.01463863517222,0.022901793671342,0.0122467333026514,0.0161519816973896,0.0145340456241293,0.0135626659537737,0.0172733378080256,0.040638332803263,0.0153200436929592
4,,0.00900109628651876,0.00681944109818262,0.0102848501087461,0.00279010177862751,0.0122957635124187,0.00643234281568014,0.00814623785913879,0.00953015294632616,0.00475922101639304,0.0091397087708288,0.0131742898850585,0.00964063768228188,0.010743992736822,0.0037618487571312,0.00806050637187357,0.00738367727746149,0.0110645941588087,0.00955830587104518,0.00705847714017691,0.00505488192057552,0.0117664575735495,0.0062644187356874,0.00378459568861165,1.04251231718155e-05,0.0103683643855591,0.0130101124355387,0.00970318216305226,0.00712971173583601,0.00763781864562209,0.00563748306812566,0.00823237781340754,0.00779012699122681,0.0110085359519341,0.0286129506235897,0.00804823937944922
5,,0.00352417003354331,0.00291813988170037,0.00611317060556087,0.002533362278747,0.00765327179351373,0.00451327945912226,0.00512518712602151,0.00828163435550277,0.0030207978309958,0.0052961382240757,0.00492226438855113,0.0035929587283637,0.00153068395782349,0.00142770831299123,0.00356482243143777,0.0025910465599901,0.00332229516595582,0.00445407840650595,0.00243309481510829,-0.0010214709432053,0.00472232193151168,0.00271292545334224,-0.000206958206551289,-0.00229060124582783,0.00474565883833257,0.00928460536174939,0.00945981219435787,9.45480203328307e-05,0.00590467873880857,0.00415886661907926,0.00431732224986087,0.00475680690813105,0.00484587368135186,0.0267451713407808,0.00538102142648067
6,,0.0144590694031251,-0.000200074136381685,-0.000210106522848617,0.00290962973456677,0.00228934219195282,-0.00088661533784808,0.00298582885560696,0.00127798084213394,-0.000934715952552358,0.00381676296531042,0.00334153118678396,0.00156386254224745,-0.000587092143837335,-0.00121645399934644,0.000196750047671079,0.00036539440883981,0.00307847071208335,-0.000294788780696939,0.00420047263132419,-0.00208274150145302,-0.000180864281504782,-2.08872209070005e-05,-0.000446283847853602,-0.00453254244807634,0.0015305933670769,0.00624629825004632,0.00264897308653257,-0.00761528732176607,0.000767349364575628,0.00270944370684181,0.00183183007302661,0.00165940890915744,0.00270779981365481,0.00891006566253875,0.00328700665364915
7,,0.00342993450935911,-0.00136314949706194,-0.000335147648707999,-0.00202883968883543,-0.000530204512731443,-0.00112446521348617,-0.00173047821409916,0.00200271338309684,1.70841458697053e-05,-0.000571944379632146,0.00221088734808193,-0.000555572950492649,0.000503096289705008,-0.00471449388586142,0.00229715841556512,-0.00209370165767295,0.00209581827349606,-0.0017402673138647,0.000928848268933193,-0.00612303648110853,-0.0038335468666445,-0.00669098405189941,0.00544053759224312,0.0168356081075187,-0.000522675442300761,0.00102572705536252,0.00334691396099651,-0.00220155715358869,-9.44775762735633e-05,3.97490511520325e-06,-0.00053346402417611,-0.00353702627357352,-0.000636940770956663,-0.0040399285701652,-0.00156232142095588
8,,0.00460357103066915,-0.00238786913533721,0.0006411038598218,-0.00381422712933067,-0.00263950973914673,-0.00188628743551134,-0.00336411736682004,0.000502983118632591,-0.0049230921781685,-0.00329006767930865,-0.00266982362895005,-0.00344946351639751,-0.00350577707007654,-0.00239928880215305,-0.00280283296032616,-0.00452270245365997,-0.00328140844771949,0.000159392016800338,-0.00528542243941784,0.000597766116053815,-0.00119123496634692,-0.00452636895137071,-0.000221415353794257,0.00723608651556902,-0.00113805733516418,-0.0023079469119854,-0.00232578676370192,-0.00655170601499424,0.00043878794922751,-0.00280692840558336,-0.00088997606413997,-0.0037418067459945,-0.000860950085701866,-0.011286321894121,-0.00165858455044463
9,,-0.00799522815692784,-0.007048837155748,-0.00363184276875609,-0.00657908886082386,-0.00566205212336362,-0.00520356455771929,-0.0054126777126703,-0.00439798641791353,-0.00758572830667292,-0.00522954935326965,-0.00575472644405778,-0.00266949434516842,-0.00487727931670589,-0.00478407240367358,-0.00345133262446281,-0.0062690504193057,-0.00567016509882307,-0.00359845857419187,-0.00656400003922664,-0.00402428219173113,-0.00626404338794507,-0.00365260074609818,0.00314323243671846,0.0195113707841063,-0.00491450632417995,-0.00565366559681183,-0.00084767353881104,-0.00418956187780366,-4.6939654958504e-05,-0.00461354992315859,-0.00398961239124264,-0.00460573836706135,-0.00553795659485078,-0.0165026052661761,-0.00572118032131937
10,,-0.00230159996015334,-0.00480223323675463,-0.00531736881887169,-0.00387988563663418,-0.00494450864223368,-0.00395628397354644,-0.00559415298022606,-0.00243901516753035,-0.0110625746774674,-0.00583834936346892,-0.00351386217646163,-0.00584019263391314,-0.00450609054579042,-0.00315205869704507,-0.00152778780133339,-0.00504961637040628,-0.00563962471477467,-0.00335892775434192,-0.00426064249317099,-0.000974369874938047,-0.00318365877199402,-0.00707577492629766,0.00264073146535012,0.0192684398485022,-0.00206368040572721,-0.00690761834619901,-0.00412959921146171,-0.00207668125816481,-0.00211801920649515,-0.00468375917283999,-0.00322000449835638,-0.00454823254511966,-0.00588768542297348,-0.0106929902774129,-0.00330701771632473
