Time,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48
11,-0.00678649534516721,0.00240699006956839,0.0181695389815843,0.00231473669373807,-0.00828264816481115,-0.0091179829955791,-0.00301254191379965,-0.00204152059420192,0.00237956230207177,-0.00536092201857872,-0.00506769344273143,-0.00614152927607038,-0.0095588652965702,-0.00803285785723325,-0.0102536851442524,-0.00258432109186456,-0.00270199711776197,-0.00237597807723743,-0.00113680317143258,-0.00538438467068671,0.003199150547507,-0.000306516402872852,-0.00774544154082813,-0.00545389919455542,-0.00664432637289788,-0.00854396379177061,-0.00319757536486434,-0.00173958358561327,-0.00682133154363434,-0.00757184960861553,-0.00717309337427746,-0.00824100494417443,-0.0042711181346361,-0.00774901166056336,-0.00626907034187519,-0.00818460054293316,-0.00529100529100529,-0.0055595178901281,-0.0133660234103133,-0.00822711173367869,-0.00823491336991717,-0.000454272605115895,-0.0021538658746618,-0.00210744962640669,-0.0134948523119214,0.000348568345249329,-0.00534295708223162,0.00109732903923014
12,-0.00730120452900268,0.00161460041834761,0.0270828313597346,-0.00279713893780191,-0.00887612458074314,-0.0109214329465935,-0.00716082114709995,-0.00311657093343399,-0.00455566760433794,-0.00886830899975831,-0.00788179300724029,-0.0094524730307348,-0.00824102791315908,-0.00734430259249668,-0.0104852666599121,-0.00706490078822548,-0.00416493902118676,-0.00516777340405885,-0.00659985580571405,-0.00636641394416091,0.00591336698549137,-0.00287072564574343,-0.00721307928204943,-0.00832159214312504,-0.00878237352545879,-0.0112994672820116,-0.00512074896838893,-0.00334304037120026,-0.00447993508549415,-0.00430896038509507,-0.00739429220461662,-0.00698782379201906,-0.00912531703729045,-0.00729369875918946,-0.00988379716421137,-0.0112947325083499,-0.0112759129152572,-0.00727844612487432,-0.0104613039601968,-0.00840160903965837,-0.0132673836890185,-0.00418278941348297,-0.00622286719943913,0.0210986371688779,-0.0106017089805762,-0.00243754512986757,-0.00829023859354107,-0.00190187831311243
13,0.0011312650785151,-0.00181056775144531,0.00751861186199538,-0.00408751531081196,-0.00993525172302181,-0.00902049921444318,-0.0040522640745757,-0.00867458118726408,-0.00423721316986005,-0.00695424825781676,-0.00707644214502885,-0.00544677386525546,-0.00934982902196019,-0.0040908789666163,-0.00730929158800815,-0.00803829372391913,-0.00587844003514293,-0.0057244455840293,-0.00438601475360919,-0.00562989198905529,-0.000346128904062106,-0.00338017119068461,-0.00764240368429031,-0.00599725154270544,-0.00543736427064577,-0.003619072194572,-0.000771663433447408,0.00282024664839949,-0.00250823280495505,-0.00637607486476864,-0.008759954548449,-0.00618450254063732,-0.00750999787783321,-0.00619266937950365,-0.00907757132883743,-0.00349098102332277,-0.00580058981698322,0.00245914733059886,-0.0111155848264358,-0.00146534112696459,-0.00350388886027951,-0.00417155894116872,-0.00429420761197234,-0.0186979012308266,0.00247011228961905,-0.00922641551901697,-0.00321324338741557,-0.00393943505406898
14,-0.00354492261292667,-0.00701648255677724,-0.00686084324529661,-0.00897109358405019,-0.0107387274861298,-0.00685148508416903,-0.00294888545497663,-0.00390135768107338,-0.00694407586292303,-0.00744052314901272,-0.00649325703791035,-0.00962616188343856,-0.00825011644683782,-0.00613933087920764,-0.00586190711513526,-0.0148000309107987,-0.00816580223773534,-0.00885361798962061,-0.00523619705879012,-0.00706201801287193,-0.00596022479370406,-0.00800763489056686,-0.012425077525254,-0.0109327020384012,-0.00936861226083837,-0.00769904421327138,-0.00629380506680428,-0.00584009026125484,-0.00527619946801945,-0.0104732255374846,-0.00815406210012896,-0.00575606453990034,-0.00799624191052704,-0.0077407332441747,-0.00942309668685474,-0.00811963695096627,-0.0084786191343568,-0.00866438826179007,-0.00931092001955664,-0.00579287431526166,-0.00850286520055149,-0.00801238047267945,-0.00725775770978725,-0.0253443545980463,-0.0039888099375016,-0.00931158055974112,-0.00754332478588048,-0.00572943817229252
15,-0.00124515817451263,-0.000523999608065293,-0.00591112385220254,-0.00287654671460249,-0.00758873727849071,-0.00760698438797239,-0.00561184731573969,-0.00335308200806512,-0.00714753286272838,-0.00535057574429805,-0.00849274883374552,-0.00592441821019079,-0.00747759108414845,-0.00695699025608233,-0.00760703925099916,-0.0134699749146982,-0.00540965202189072,-0.00758845394423322,-0.00780357926750488,-0.00810133232729885,-0.00944361657404872,-0.00771894908176682,-0.0127685370470467,-0.00809519533139586,-0.00917894678762728,-0.0100815651868774,-0.00777808013010548,-0.0105418932314915,-0.00755124056094928,-0.00771089318348146,-0.00610556858438038,-0.00176088018302872,-0.00863083158031375,-0.00527376516036731,-0.0110621272312964,-0.0113028529573457,-0.0124251886546969,-0.0114182732870904,-0.00721865922751712,-0.00878550311281372,-0.0109897931286266,-0.00519353192177531,-0.00463525107560988,-0.0276865360010231,-0.00889175591919297,-0.00536965581765435,-0.009814346498362,-0.0045107126449914
16,-0.00445387712906169,-0.00436666340054447,-0.0130234668627075,-0.00920931691445207,-0.00915916717911077,-0.010320282962922,-0.00637572482161601,-0.00427762529980474,-0.00972170620809219,-0.00818545489722789,-0.0112975914917921,-0.000344663817083953,-0.0081592311100508,-0.00941857532751565,-0.00771455924041262,-0.0168136911060121,-0.00793949078306184,-0.00875240486598962,-0.00866217921927168,-0.00746301329954054,-0.0136696604090863,-0.0111916695464491,-0.00619987369276095,-0.00917435346730489,-0.00706676310868605,-0.0076762085489875,-0.0107067303894147,-0.0107924333542395,-0.00892574455459429,-0.0142552107738378,-0.0120106156203881,-0.00849806774461658,-0.00943024973575933,-0.00827055189304615,-0.00982177979225948,-0.00970312450516017,-0.0101483216237314,-0.0102123236354883,-0.011194673722355,-0.0094922172020316,-0.0097253954278207,-0.00232976148161385,-0.00849257025054329,-0.0372401706710607,-0.00734388371670858,-0.0103700603515978,-0.00859304148853862,-0.0121943962428977
17,-0.00950240763434183,-0.00916360290202064,-0.0195448733619538,-0.0122268124328757,-0.0129665466474746,-0.00884990259745533,-0.0105664416941317,-0.0128887785170542,-0.013056631813598,-0.0100167454449234,-0.011010627391464,-0.00664088472759347,-0.00947706849346192,-0.00957350026208139,-0.0074829777247529,-0.0199122014432965,-0.00924886419938687,-0.0112405608219181,-0.0143356730182019,-0.00932886891914175,-0.015915298764943,-0.0147492976019549,-0.00923949046062652,-0.0089328635347937,-0.00761851721257279,-0.0123879672795377,-0.0109221896727972,-0.013540023367042,-0.0110206782276671,-0.0163130556818535,-0.0139917877529901,-0.0144212231048044,-0.0107076704996157,-0.00873414321080858,-0.0125771230318344,-0.00971936540315187,-0.013314251019169,-0.0160620794081847,-0.0164001610537517,-0.012973438456327,-0.0122206968506031,-0.0106740024111824,-0.0121734876339403,-0.0423046243187257,-0.0153182619745339,-0.0116840352656266,-0.0149720891431536,-0.0158791367043472
18,-0.0114407805181478,-0.0112340403777909,-0.0207548862183404,-0.0139440056061891,-0.0126104607979154,-0.00932919785470688,-0.0120093214274537,-0.0116954726405064,-0.0131097075526777,-0.0112996834557383,-0.0115105003404227,-0.0116995725625891,-0.00996784931211161,-0.0119404089846133,-0.00831832533481098,-0.0204992093968828,-0.0117382902007948,-0.0114935936309955,-0.00949552623128075,-0.00822408598648314,-0.0169939124634254,-0.0151908170742372,-0.0125195288937469,-0.0107063052266721,-0.00964448931278168,-0.0139712400032121,-0.0122947451076778,-0.0149513993918556,-0.00784510003545263,-0.0166467602615317,-0.0140302571147882,-0.0133501281029622,-0.0118037799292473,-0.00958682009883592,-0.0131352793794011,-0.00967876315817257,-0.0150056379564576,-0.0168270474707682,-0.0158752983808346,-0.0144566655571546,-0.0118522630834809,-0.0144923629980645,-0.0112444381985143,-0.0342713530155329,-0.0165419724592205,-0.0120855276004688,-0.0140434935984944,-0.0142986020361286
19,-0.0104004108912463,-0.0127591774484201,-0.025250224678986,-0.0135866706105863,-0.0113869863404556,-0.0111164005088653,-0.0105027852353087,-0.0106526738114512,-0.0119243493798984,-0.0103478262219078,-0.0143523706243182,-0.0119383947350567,-0.0104495415970826,-0.0162697002116446,-0.0109815127648972,-0.0230701556239821,-0.0103157610571331,-0.0116875854512882,-0.0100510909059535,-0.00865781558226759,-0.0149074138335743,-0.0151059094834137,-0.013936299421142,-0.0118458358457089,-0.0124291233058347,-0.0150216805602653,-0.0114887677883584,-0.0163210187295444,-0.0120444467194856,-0.0158124988123361,-0.0162710974395273,-0.0138106989537544,-0.009479698281457,-0.00764967066389997,-0.0104773920100363,-0.0135116150842212,-0.0129781420765028,-0.0171060358230044,-0.0158321589830606,-0.0168298289184787,-0.0128738294377743,-0.015570488340243,-0.0112209179596428,-0.0445440784671861,-0.0156586317782216,-0.0147864760348617,-0.0153152657574841,-0.015603019202068
20,-0.0126892240704297,-0.0139690627223271,-0.0248281271709442,-0.0169317232083124,-0.0128204601450913,-0.0131960545064314,-0.0135689046686177,-0.0109536879064362,-0.0159492595934398,-0.0115066089413537,-0.0168702491820366,-0.0149996607639597,-0.013894095861309,-0.0166742264296774,-0.0136198878897341,-0.0249426366911181,-0.00941859779039185,-0.0116285444625034,-0.0116756966970418,-0.0121685702349382,-0.0174713316414422,-0.0152842154241431,-0.0140135778135453,-0.0154908245145485,-0.0156448151925493,-0.0148466071340898,-0.0157101737479621,-0.0197200130614917,-0.0125373722896203,-0.0164242905417462,-0.0175598210597635,-0.0160492875076047,-0.0126279223575419,-0.00860996696497935,-0.0144996615623416,-0.0137795899010848,-0.0156344869459623,-0.02091287688739,-0.0234175030916569,-0.0183828549416983,-0.0155449742494105,-0.0165587699039065,-0.014313829371251,-0.0466294417338718,-0.0194026996187858,-0.00844776371811102,-0.0174954466014665,-0.0151840823020582
