Time,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44
1,0.0367212396394278,0.0407694947850333,0.0409670083180162,0.0525296520677887,0.0397921419085999,0.0316547857580278,0.0424579541380884,0.0338576869285568,0.0408583043256006,0.0461452613786582,0.0306587985578294,0.0358358544999947,0.0377040662774628,0.0525734374340029,0.0403641822754601,0.0410667085421295,0.0450695899142816,0.0371376811594203,0.0358195458503583,0.032820296916534,0.0361568534029854,0.0424133883517468,0.038108443482491,0.0397537336493653,0.0418502615191113,0.0437329981164064,0.0585569688157318,0.0368192329967722,0.0383864277565488,0.0364396270815719,0.0389704152470955,0.0614895698022946,0.0362323417335103,0.0428716175139486,0.0455411215685062,0.0583657808134531,0.0566545392940643,0.0399171675631172,0.0402939470121834,0.0379680827574543,0.0351143909056015,0.0383705554574974,0.0289928214996438,0.0366459243255796
2,0.0222165917259858,0.0339164300525042,0.026657112890329,0.0319851355992897,0.022895394181358,0.0207655844033131,0.0309886856044976,0.0197374001007255,0.0242934690002677,0.0307522008684515,0.0237977944653331,0.0250304533719422,0.0237290605751613,0.0326147750728375,0.0258221143235489,0.0264998328941747,0.0269609074436031,0.0222393829894703,0.024169162607772,0.0211911765859003,0.0256813840806898,0.0371664710366777,0.0298254696243265,0.0257383009130294,0.0282400299290626,0.0265084261285046,0.0353787568643505,0.0218744557711547,0.0237006992160306,0.0204012064021799,0.026398108925964,0.0433047306447419,0.0227925139818023,0.0262276921414193,0.0288334504532767,0.0405082498958311,0.0310923356368248,0.0264652130793748,0.0249365048668858,0.0235691501106345,0.0238646194165849,0.0237768664391497,0.0200220886749922,0.0230294250152381
3,0.0125590666595673,0.0194501096320164,0.0155456556279012,0.0208678939175808,0.0151393454918343,0.0113269145611402,0.0155988550225975,0.0145782895033157,0.0145322655242081,0.0171077003044691,0.0151319136205767,0.0172352887327858,0.016482021903825,0.0194049255193778,0.0158104971611922,0.0150942791953506,0.0154648148299595,0.0141406341065391,0.0147077117403327,0.0100807825770686,0.0156738545047708,0.0188506637302,0.017692369726563,0.0159106119340565,0.0185966477721051,0.0149986888908016,0.0286643985487809,0.0133794231883001,0.0186906425710776,0.0119293437715325,0.0144855374909908,0.0226736185243362,0.0132901802200103,0.016716877642831,0.017182966953224,0.0240301896205228,0.0224046914947464,0.0145726041694822,0.0164997099207117,0.0157119837642052,0.0144481440220746,0.016775839950618,0.0113831325977672,0.0124668578949827
4,0.00778538506780155,0.0113035856618909,0.00885801219144946,0.0104540438624057,0.00801541978735571,0.00547371345771467,0.011678292974288,0.0119343915554368,0.00870231980721001,0.00989369615474466,0.00955657515982755,0.0104173277299503,0.00929487611407001,0.010316771820968,0.00731226398849437,0.0107242165009641,0.00857183247015279,0.00606616932820454,0.00601178913524015,0.00442304664857567,0.00863348832064924,0.00963467612144386,0.00940939586839843,0.0113964042816302,0.00947193357976474,0.00940395574656158,0.0143621977215297,0.00574503157033569,0.00832608788683124,0.00525691370491425,0.0105769194862034,0.0131515667764567,0.0114352336293851,0.00988638359384497,0.012125779338047,0.0162824777938297,0.0115388772075358,0.00666152429148534,0.010589827886289,0.0107674889482906,0.0101044822527042,0.00942969243800393,0.00755493935822893,0.00649780861436044
5,0.00609623619686898,0.00694667033524992,0.0074457148197763,0.00511922944817558,0.00371096327014277,0.00249093034741757,0.00626315202358416,0.00565220926335265,0.0056230374138895,0.0063296914556092,0.00595918382484291,0.0073284656611204,0.00699898232012045,0.00813524360939879,0.00565336230752244,0.0082034238356443,0.00579127348433248,0.00736536892411703,0.0222314191937073,0.0427364140449375,0.00847396340711173,0.00137707377872437,0.00212537363131923,0.0057677164357122,0.00667688954821631,0.00780260100044626,0.00846838516594436,0.00469201203682336,0.00742845273794385,0.00256335315875853,0.00710397546284139,0.00684737229512565,0.00559727288711056,0.00723848637548797,0.00660975418776529,0.00912056856866692,0.00673188102517543,0.0053516740094518,0.00617546573841304,0.00420223336136385,0.00437543195737173,0.00558405816965556,0.0262748042995714,0.00546300514499242
6,0.00301170347603577,0.00315706169176526,0.00365535790315383,-3.28858422795536e-05,-0.000904537890505346,-0.0034746358731765,0.00274331040562666,0.00325398324868371,0.00193520118789698,0.00278479670124131,0.00382052849510982,0.00411604910953723,0.00351521304147541,0.0043291731126183,0.00545933871910472,0.00514541306132196,0.00122321229334189,0.00204715001748453,0.00555725672947176,0.015509313851742,0.00366694601251518,0.00891830733672964,0.006422946751196,0.00174883331372672,0.00436209363205405,0.00418954435452391,-0.00141345624461795,-0.00116034652442799,0.00351434598407436,0.00233982116322698,0.000295013524565054,0.00194605836596851,0.0031505641939547,0.00484997500709247,0.00281935715863863,0.00652225057800772,-0.00344960394440737,0.00230575232186558,0.0042055050602721,0.00374419227390383,0.00244838776712349,0.00307946559488504,0.00959664241931601,0.0032672026612118
7,-0.00107652639998931,-0.00102966162992883,-0.000114229934473511,-0.00263634835607331,-0.0023493904277516,-0.00568107817394429,-0.00312670238493629,0.000446304011998169,0.00154572673498692,-0.000540333688300571,0.00123683506207985,0.00148770829460562,-1.84669718208021e-05,-0.00110143966937318,-0.000351667754007287,0.000537734664876568,0.000557280099258851,-0.0011583517892528,0.00115546922097924,0.0028306774746714,-0.00162928111692962,-0.0116143709386609,-0.00932094702694835,0.00028537447378792,0.000404849161270742,-0.000234198131619444,-0.00522502364583485,-0.00370176866780879,0.000362185344958065,-0.00256670613869162,-0.00246840430047567,-0.00141208695579745,-0.000934870321594237,-0.00145093959822222,-0.000691747457815624,0.00204369520501678,-0.00364154997252255,-0.000594630445494579,0.00135886031070712,-0.00075400609781878,-0.0012286208769717,0.000367800405664991,0.00297386811491478,0.000528759333738158
8,0.00384403770229234,-0.000859469624981909,-9.34608554783674e-05,-0.000133370360355765,0.00249688579092874,0.0322370413651749,-0.00112310023317585,0.00243507680465049,-0.00149704242837327,-0.000836537832196601,-7.35549087393562e-05,0.000577898012513853,-0.00117639601572577,-0.00159344390432281,-0.00252473194428626,-0.00273722957654298,-0.00387058484034566,-0.00130405641683178,-0.00219371692678686,3.19680175064428e-05,-0.000448796756752245,-0.00321155870714795,-0.00340007752280814,-0.00109928273630781,0.000596948407425237,-0.00242605244036458,0.0054597173793356,0.0109797536744307,-0.000712889310104696,0.00634104388324259,-0.000402064845715475,-0.0017452710869387,-0.000229307814730677,-0.000543089123356944,0.00116355214065173,-0.000856972515464699,0.013374882693854,-0.00137430323241939,-0.00180751627667109,-0.00061307037860031,0.000250515744732295,0.000969297047637496,0.00139154824257214,-0.000241033491035631
9,-0.0034144063590336,-0.00598792204071557,-0.00420573849652638,-0.00552299451171837,-0.0029614460164463,0.023482777236666,-0.00735051232648526,-0.00251345785000791,-0.00329836177308246,-0.0043049928074946,-0.00222457240800835,-0.00308380756726284,-0.00464020100051057,-0.00583582004341712,-0.00495972797892908,-0.00309881868837161,-0.00500383787238177,-0.00685297431713105,-0.00586586031023043,-0.00544481686849734,-0.00368183500444539,-0.00183690509323688,-0.00194327307539227,-0.00430763480848122,-0.00192915667950679,-0.00565878733408475,-0.00188107909708204,0.00817507664767183,-0.00391723803927254,-0.00159434195812914,-0.00459698289543961,-0.00474392826721015,-0.00264187638658669,-0.00461760851650208,-0.00316548025577191,-0.00566622290544861,0.00441183772882782,-0.00444101619432356,-0.00534519435312313,-0.00268012759380448,-0.00190569045732916,-0.00433570612254559,-0.00419761388715369,-0.00411523672391313
10,-0.00308392071037288,-0.00588580683774742,-0.004600350997435,-0.00879330882729082,-0.00614212833802325,0.00474844770144382,-0.0051736256643024,-0.00198701799312934,-0.00383388914583399,-0.00518405026679877,-0.00459810895892605,-0.00488096368003659,-0.00428084371102281,-0.00578940454955386,-0.00459108316093536,-0.00297484527860178,-0.00489869068384235,-0.00482525158332368,-0.00464579964211559,-0.00603592360729519,-0.00362866003326627,0.00291629859993462,-0.000195107738493314,-0.00653659519546469,-0.00520444882644166,-0.0057088296699008,-0.00819839914169157,-0.00257787281954077,-0.00424080419759248,-0.00561791787769785,-0.00505755253294631,-0.00745324133359588,-0.00475856390717753,-0.00636846300374226,-0.00546964266032007,-0.00608195378395407,-0.00530230038969219,-0.00628104397146597,-0.00340617546573833,-0.00424216514847574,-0.00516604089812752,-0.00379337308470167,-0.00373823069840925,-0.00446858425003866
