Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean(background)
1,,0.0301986376763214,0.03042614725697,0.0349556849553898,0.0310143697800738,0.0344372147194993,0.0373853290564378,0.039834135222484,0.0330617186635117,0.031775155689934,0.0315538351124065,0.0378578423709505,0.0321603588151855,0.029511237010811,0.0240225116909059,0.0356194673377561,0.0341555310191138,0.0338636991451008,0.0336949116349315,0.0408771325280705,0.0429595123259541,0.0321796137716456,0.0340349484699149,0.0220727749833501,0.0344633718594875,0.0390967335918878,0.0319930693346513,0.0466883812739364,0.0131456681706905,0.0397740420287366,0.0413351590750001,0.0407954417592455,0.0392297170652711,0.0418214056435668,0.0389975864013661,0.0393621022713786,0.0435499011091715,0.0403595621707158,0.0363463957027274,0.0390502846525454,0.03422133149813,0.0321066707263199,0.0415652042789201,0.0431308540933384,0.0378942976759426,0.0372711091986941,0.0289752102163957,0.0425821786332948,0.0430313385302433,0.0340757590719982,0.0283689674728985,0.0369133167042294,0.0470176744182939,0.0461467138598447,0.0132483957496104
2,,0.0197951287844362,0.0202854668111904,0.0240334534064748,0.0201620048177934,0.0231419308906998,0.0253373404146,0.0305768091758784,0.0287712293166075,0.0232558351590682,0.0275969087082719,0.027243225621157,0.0245912974653462,0.0277466947864489,0.0157567619922929,0.0265317682762289,0.0253558706893289,0.0268791546277774,0.0246073030967515,0.0260205170670739,0.0321113381187152,0.0249565929027629,0.0249687985016602,0.0117776336907837,0.0253273004485271,0.0293940798862581,0.0346961958356237,0.0284849656123149,0.00901718376994206,0.0270673683504068,0.0274022767113188,0.0275247714255081,0.0289383298838725,0.0285579303075851,0.0259337469197058,0.0271068768227044,0.0310913627172966,0.0260200194363209,0.0256320177227508,0.0262641196088343,0.024569457878305,0.0223543027236933,0.0241963189578575,0.0258011189569012,0.0267314950005929,0.025240418167633,0.0251115452912711,0.026426547567019,0.0282315757477007,0.0249278839396621,0.0167630150849909,0.0214018899238432,0.0509070643521078,0.0327987676235542,0.00811129882554087
3,,0.0112538092275824,0.0139257984841093,0.015462436982698,0.0138726164518798,0.0176778546206738,0.0182252897622931,0.0186923998641608,0.0214391745680053,0.0166523732302611,0.0169935401469393,0.0184734242812305,0.0187599872144702,0.0216320451321773,0.0176831512011966,0.0136249932886918,0.017895445714411,0.0147339804731503,0.013276264036198,0.0166799025157241,0.0197490595446124,0.012642034084163,0.015285538699798,0.0104414923601365,0.015172578584725,0.0163491236251675,0.0219248096708097,0.0186902219445538,0.00241925182358,0.0191208675462833,0.018956820428761,0.0195696571033587,0.0189765738899604,0.0190637219154768,0.0159387162346393,0.016675477727144,0.0221591988149123,0.016583964060514,0.0180794190572299,0.0203522560664897,0.0194564885968073,0.00810416072970203,0.0115955912056893,0.0165479895881489,0.0195458147771287,0.0156649835207983,0.0278381115379652,0.017289458869882,0.0177144229945837,0.0156960186962478,0.00579163018374009,0.0118697185000416,0.036120138664444,0.0211996327136102,0.00310562166859734
4,,0.0079644515509984,0.011374382997043,0.0122745377814944,0.00889782771489402,0.0153866155659002,0.0138486565228559,0.00941556616291277,0.0194517820474235,0.0150941216725639,0.0131453925159357,0.0159400917681659,0.0132896120718359,0.0181715830435706,0.0122136317933794,0.00977548350536546,0.0105136423395531,0.00922064654195315,0.0114748937811067,0.0111904478679571,0.0444888210235485,0.00429340068004735,0.0105074079774877,0.00438810304787464,0.0100647191362717,0.0135224092473017,0.00984882367524707,0.0103738733150518,-0.0111818848138091,0.0121066680153626,0.0105029576996109,0.0113721834334766,0.0124399319011413,0.0136527359976345,0.0065718419132793,0.0125807614977026,0.0146019949915489,0.0155956749957192,0.0128450475416384,0.00935432696645002,0.0125787628956259,0.00198664415804232,0.00752062526353878,0.00764706962243968,0.0152136488587972,0.0106504759383835,0.0206791957761171,0.0102008964510386,0.0134409273457985,0.0113235344843094,0.0211362152406251,0.00675915378156617,0.0189795590232198,0.0133328112038667,0.00279919679070272
5,,0.00693916289210802,0.00944633427086145,0.00630414927750323,0.00557846073285423,0.0094642914849195,0.00736134460254787,0.00422731662700416,0.0165310064370498,0.0104001354662568,0.00956337845941253,0.0134267544021563,0.0110582614835426,0.020140387593762,0.0227359330246324,0.00687713542072632,0.00740070724487226,0.0063325201469305,0.00604708590399093,0.00774122960012991,0.0261190566859668,0.0101406123730727,0.00844395837566814,0.00750084601671066,0.00374992102489395,0.0103070777164725,0.00664625365742133,0.00618276707712362,-0.0108805419830429,0.00932599724594469,0.00974666086968189,0.00868699573954596,0.00893441574494169,0.00793082279617364,0.00196851250791177,0.00754105321417319,0.00931822237540719,0.00782378158293897,0.00764463876225162,0.00695587834653116,0.00609442198904473,0.00357868591684608,0.00694402257815224,0.0079355484385283,0.0145769315220401,0.00727794451273106,0.0118667035600833,0.00550629842002434,0.00869792620688771,0.00916421018467113,0.0142750777707377,0.000934671026896243,0.0132519412400046,0.0190175540756651,-0.000396914246168316
6,,0.00501828811300563,0.00535864115872585,0.00554556518186837,0.00422661469823967,0.00828785558347727,0.00558527937940888,-0.000401346396298655,0.0111910025433362,0.00698347122252841,0.0117200358745299,0.00927583203194226,0.00707672251055896,0.0126423631229978,0.0128694375995754,0.0046882196231201,0.00674674273668151,0.00476322320817971,0.0047646356276153,0.00364194022521216,0.00788906414002495,0.0126577394610964,0.00492769135954182,0.00525450655836359,0.00246665581133496,0.00594695904420387,0.00681269669842491,0.00157579863007438,-0.0102155118530566,0.00339171828840047,0.000292903268341512,0.00591022869772864,0.00321378506165243,0.000950468448905648,0.000352412144453512,0.00283745292244069,0.00334705878311033,0.00441991025004922,0.00439384246723352,0.00342667435729928,0.00548523340349915,0.00779802468128084,0.00785101851538816,0.00447033128667809,0.0101457892920906,0.00410051551452756,0.015862553614268,0.00441439028311009,0.00277128104768294,0.00562793971278314,0.00246986460644196,-0.000129914874045947,0.0110691565720879,0.0109367225901141,0.00136906653026139
7,,0.00235674357355569,0.00437084307521371,0.00250838880004095,0.00178481506774268,0.00432187153003468,0.00213545444452199,0.00356075265345603,0.00515445508300852,0.00341991785441238,0.0114837573437618,0.00498450514227604,-0.000177091719423569,-0.000493011156498183,-0.00363473356707414,0.00191567034379117,0.00158831196351845,0.00258253827871799,0.00269526974584159,-0.0014003660643628,-0.000501102325554737,9.29840018721529e-05,0.000760466528100412,-0.00226632683503529,0.000225897696546506,0.00497878060138824,-0.000738440852535039,-0.00100485922127957,-0.00500991723569607,0.00134254934320955,-0.00116093971982721,0.000869090148652948,0.00098271352869604,-0.00191351639859868,-0.00216354467737358,0.000841749386577927,0.000170257963146764,0.000442984197011937,-0.000581914709932283,-0.00117022803632819,0.00027474436199553,-0.00440359959248234,-0.000143490406104907,-0.00441563513348878,0.000608831441988311,-0.000194347955269228,0.00514419709199473,0.000569093231867706,-0.000474204374598661,0.00239395169920453,-0.00441394606793529,-0.00343773169857461,0.0103041590189527,-0.000886917015604986,-0.0036076274793866
8,,0.00210141234503692,0.000879375059815047,0.000333862202057959,0.00102365732895771,0.00397339664071537,0.00169048605699001,0.00549617943763731,0.00158829585823244,0.000724850578965469,0.00638652592020305,0.00398851880410062,0.00100495806896019,0.000521499370141437,0.0030961881056193,0.000260134846616919,0.000243829239416548,0.000929808647967978,0.00124881051119376,-0.00192637243578575,-0.00364268751533877,-0.00319016603738105,0.000728625704337981,-0.00656355199714015,0.000653679520817579,-0.000377699790284726,-0.000425116117614921,-0.00634447136838352,-0.00371800505047483,-0.00272898710492984,-0.00491729898415165,-0.000301885923859366,-0.00443235371628654,-0.00529353086527016,-0.00415926593157714,-0.00212013995656465,-0.00173730098052924,-0.00037366484469051,0.000388619149831425,-0.00223276272076208,0.00128413586095535,-0.00894023867581823,-0.00289036756544648,-0.00665208028407289,-0.00870483948126219,-0.00265971834493192,0.00747447845313645,-0.00239884204078909,-0.000336875933522694,-0.000947543656554127,-0.00715571037685122,0.00581282110455879,2.03748836638279e-05,-0.00521444566102038,0.0037040904734386
9,,-0.00324689055504904,-0.00283695272790353,-0.00435822233652538,-0.00292796447061868,-0.0021713050584495,-0.00406614639871084,-0.00235038134279094,-0.00583659867585294,-0.00375195193326958,-0.00403298286697874,-0.00244176263237377,-0.00189825977075072,-0.00741385891682931,-0.00792705895856289,-0.00283449917880628,-0.00327190814787884,-0.00394706513329799,-0.0040115585625146,-0.00467297361344901,-0.0115832843032256,-0.00249177606774268,-0.00272177003741443,-0.0149974220582433,-0.00727047715346503,-0.00307012914440381,-0.00543957020860613,-0.0071134256685298,-0.00391198059664891,-0.00423925260263763,0.0103853619017763,-0.0024015855815337,-5.85472242872215e-05,-0.0077862690272008,-0.00554658660312306,-0.00156428183363227,-0.0035439511426577,-0.00241187860254024,-0.00545178170001354,-0.00343720040183675,-0.00240178049181148,-0.00948577697543146,-0.00380387927809354,-0.00449431926598558,-0.0124816484070657,-0.00394949873174246,-0.00485354309231821,-0.00595473461523716,-0.00532703762979662,-0.00267700247061633,-0.0127433852078378,-0.00462875443756473,-0.00171138584823202,-0.00160199842515417,-0.00435189700230183
10,,-0.00136356124766936,-0.000932776779311813,-0.00334758830404717,-0.00312342053055516,-0.00169156907315346,-0.00291888789321815,-0.00601522463894183,0.000116262217278488,0.000162825599649167,-0.00540946788567351,-0.00104473327892346,0.00120403924797873,-0.00455548544221739,-0.00452738403826625,-0.00456043888541251,-0.0033921529479705,-0.00329180086395186,-0.0013461791375141,-0.0027040998316213,-0.0117155696985159,3.05256242417177e-05,-0.00399421694003525,0.00485484012574257,-0.00509079633103497,-0.00418663548926638,-0.00763341532226021,-0.000160027164888028,0.00147714265595564,-0.00195233710985938,0.00333490348124179,-0.000292802791338511,0.000174724806226172,-0.00792204906498012,9.06286771415553e-05,-0.000815269662001643,-0.00070968798715291,-0.00374317132056815,-0.00240443733748354,-0.0022064476094186,-0.000769357560017111,0.00982421386054917,-0.000402644513458849,-0.000631943065265477,-0.00544052808093718,0.00045686349153378,-0.0083729496117456,-0.00609011257565856,-0.00461335864823207,-0.000856834336589782,-0.0113294615967237,0.00309637269488048,-0.00625648797044733,-0.00106440125034924,0.00298880409781874
