Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean(background)
1,,0.0287542142590579,0.0263482775322558,0.0277796856338246,0.0306868662296169,0.0301252362855657,0.0303694083337208,0.0295744356691767,0.0248032321898667,0.0301793504404824,0.0283035465265985,0.0274315434633231,0.0273260993353709,0.0276594813710585,0.0238673428637109,0.0233898546387636,0.0239104120740334,0.0264087553496589,0.0167629967437918,0.0267393192519897,0.0250202198807265,0.0233928356013118,0.026875265989632,0.0245545808488719,0.0427576738793543,0.0317404499265792,0.0237355350534174,0.0269836501167898,0.015814177026338
2,,0.0178421055984053,0.0165283887432444,0.0169075233324472,0.0190129665070996,0.0193953688922855,0.0208141279977956,0.0214432459389814,0.016726829276329,0.0227220624449031,0.0171222950087973,0.0193300212197662,0.0220403536202073,0.0164381536773139,0.0154789999936122,0.0164809968916268,0.0134315412408372,0.0164585671411198,0.0209950554570581,0.0194660954898681,0.0159522959507252,0.0163647880518769,0.0171723522144355,0.0156052085204239,0.0164293957438094,0.0186808961615803,0.0185934922453463,0.0172096001787589,0.0092034815296306
3,,0.0139965818362282,0.0124133273465829,0.0147864701097525,0.0130454962873932,0.0130903473315132,0.0142626158408655,0.0110412555546589,0.0111165158575434,0.0133452366303458,0.0118800192859292,0.0124569000159891,0.0124308622910019,0.0117278742981662,0.0115789081311426,0.00658703829070903,0.00508424780964934,0.00820608478231166,0.00648818065011279,0.0122582749564988,0.0161781578222841,0.00991750006996095,0.0106707216712904,0.00921968821909504,0.00697540214311796,0.0103326789998123,0.010991494126971,0.0129845208199553,0.00539331632080839
4,,0.00762597369733367,0.00666990422202105,0.00817282853346313,0.00831842078814902,0.00641066404811444,0.014211333881876,0.00805572152845334,0.00764333713234157,0.00964526825182583,0.00958778820876421,0.00807009135137345,0.00891448917935113,0.00713216321084351,0.00885578142084987,0.00618565444483257,0.00366313180241847,0.00516966973425159,0.00556915567792793,0.0158724445531838,0.00800937924763155,0.00540109871234981,0.00684519715227377,0.00399457205907812,0.00472721289507398,0.00710871416670694,0.00579880518015812,0.00735837938913365,0.00524204766087002
5,,0.00272841550002178,0.00144135038970319,0.00265795884021965,0.00339403027952274,0.00476477813022564,0.00730075125360677,0.00544419945717899,0.00252297349477495,0.00295256175017509,0.00536465470776072,0.00163793751150029,0.00114065428972281,0.00365068492244589,0.00364450057049179,-0.00127365069094353,-8.06538884185094e-05,0.00220444343074878,0.0149688411878692,0.0146650496537679,0.00355215654232492,0.00301357019524308,0.00264997099383124,0.00422388512939603,0.00051668249543799,0.00264620105698064,0.00474640634229789,0.00157224960744528,-0.000316241750352178
6,,0.00321166545004385,0.00238333095483902,0.00324537119637837,0.00214036689191527,0.00227130842850818,0.00240390472059714,0.00263119726157643,0.00295399000542623,0.00203870433749557,0.00107272960026482,0.00134868995326139,0.000377609753051468,0.00512035399056219,0.00266110882957543,0.00308412163575894,0.00231968930095325,0.000825491082475381,0.00446848734450602,0.00377765629496137,-0.000150902618519434,0.00140849246707023,0.00321463624437244,0.000812191000705232,-0.000848734660082325,0.00163837640343361,0.00163325546817408,0.00238308840115712,0.00279604716352766
7,,-0.00191949885961424,-0.000926114048709172,0.000389943099953987,-0.00209531660775116,-0.00284943873300764,-0.00281892090644134,-0.00318277805021863,-0.00347067406120274,-0.00272439737245505,-0.0019246894659784,-0.00178414944894216,-0.00366955432840155,-0.00247497462836507,0.00109764371673565,7.31299919195285e-05,-0.00541858201537505,-0.00485462137797864,-0.000880782813405913,-0.00438791544114882,-0.00400292306132039,-0.00321546982320133,-0.000976599833108574,-0.00362076256326292,-0.00702864185362801,-0.00379556271930312,-0.00437726072653798,-0.00109732691215715,-0.00217953418022792
8,,-0.00111710826215538,-0.000187233791984919,-8.85878675351898e-05,-0.00184781534712618,-0.00142431036920556,-0.00149778153277832,6.84048180730265e-05,-0.00203002347432707,-0.00346396396446776,-0.000810897099743548,-0.00411851691175452,-0.00183400194508193,-0.00066796558987533,-0.00221396556964553,0.000513426622854414,-0.000982207564793747,-0.00210892839589752,0.0113256069467612,0.00191943514864841,-0.00220054532628033,-0.00124764892815532,-0.00338647114481105,-0.00519103273454903,0.00285784273125198,-0.0027451735352924,0.00133534447161656,-0.00261429385755841,-0.0019625391894474
9,,-2.09952989139088e-05,0.000275136406299242,-0.000762995906098131,-0.00314841551647143,-0.0016918248983801,-0.00164146777636195,-0.00206286506029816,-0.00047833724813211,-0.00333441524478897,-0.00116354044263729,-0.00222151248190228,0.00170463920568618,-0.00346877343860698,-0.000684137273465928,-0.0011247403481221,0.00184794834491601,-0.000457710322826598,-0.0049037366008038,-0.00459662868584328,-0.00591629577324091,-0.0012912985208495,4.94013299724292e-05,-0.00406544179863189,-0.00197463844927159,-0.00375906462892896,-0.00232945582348666,-0.000942985208968027,0.00138459873344183
10,,-0.00397757274403303,-0.00292586237561612,-0.00118735975058094,-0.00395067343201995,-0.00379275818073113,-0.00410145367324264,0.00125239003143893,-0.00136528297017472,0.000918321454119145,-0.00513716866213083,-0.00506532959655084,0.000654087229382614,-0.0025412445226559,-0.00177684866852777,-0.00251043381604358,-0.00215252702853236,-0.00147197647091274,0.0080291163169034,8.16257943152671e-05,-0.00420329480737481,-0.00230542791716099,-0.00103631345853128,-0.00104988302573793,-0.00938055657127052,-0.00344341084460308,-0.000484362408080049,-0.00224468609465808,-0.00419409527004189
