Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean(background)
17,,-0.0215227600123512,-0.00241808052422277,-0.0219210294223295,-0.0199200963687015,-0.0206783572117349,-0.0211786968646861,-0.0210036575676015,-0.01907086039513,-0.0213010435404387,-0.0304598535446168,-0.023753597941715,-0.0170918240446561,-0.0150505122546252,-0.0146129932646796,-0.0123438096289105,-0.0198553367801165,-0.0127623356146627,-0.020397083143893,-0.0281258972032783,-0.0151742905404017,-0.020574256212268,-0.0272155049806935,-0.021578359979595,-0.0157901099540081,-0.0182420770797164,-0.0185015861696333,-0.0139518982739881,-0.0194778390422413,-0.0196380198872566,-0.0250496553135115,-0.0208187010536885,-0.0170693300542139,-0.0176908499105506,-0.0127627605771842,-0.0109878817308145
18,,-0.0260011101845579,-0.0135052469857221,-0.0193973305316497,-0.0193040290725189,-0.0227387606646257,-0.0222867548188806,-0.0238582023432476,-0.0202008814200994,-0.0230371947911505,-0.0305507734359117,-0.0235881321705076,-0.0182306484567573,-0.0183420559198973,-0.0174482000461134,-0.0181181518736747,-0.0241299460281131,-0.0193223081551185,-0.0210156808764993,-0.028201625908626,-0.0171044683757502,-0.0227308207211811,-0.0272065932037049,-0.0229040452295551,-0.0248097004550545,-0.0151521489195102,-0.0161649433466067,-0.0178061430065749,-0.0170396512317142,-0.0178124683266172,-0.0263168531465567,-0.0219176883175275,-0.0192530181663378,-0.0207793810800078,-0.0157282511473444,-0.0152688350484577
19,,-0.0269746557015893,-0.0164281052821042,-0.0229680768846281,-0.0190090157950219,-0.0242295564447683,-0.0238705378365482,-0.0250387122731209,-0.0197478666394784,-0.0239340704476314,-0.0357290950017663,-0.0270796765458717,-0.021786831761948,-0.0185364766426072,-0.0177654239624081,-0.02019816648723,-0.0221512436223505,-0.0198024014021365,-0.0235425399142047,-0.0304082496411967,-0.0197549568154254,-0.0249812488264216,-0.0280248224046941,-0.022850270663324,-0.0229893241130024,-0.0173535888427643,-0.0187951258248017,-0.0155547195015867,-0.0192085244901749,-0.0211354638185242,-0.0260893281322557,-0.020285843727296,-0.0202470094136578,-0.021257089661755,-0.0108099845937264,-0.0157532974296678
20,,-0.0257566529664221,-0.0206189311254352,-0.0242024984339751,-0.0212493484202474,-0.0221173764570597,-0.0239769822191316,-0.0244305855449906,-0.0180838771961879,-0.0239468211832595,-0.0352363587631312,-0.0243621578811245,-0.0222677876887506,-0.0165645542975464,-0.0153487912057183,-0.0190176442267563,-0.0221049433496939,-0.021418783975997,-0.0228195068558912,-0.0312423478334132,-0.0182156102038979,-0.0250281201454638,-0.028683013167428,-0.0247455009585108,-0.0232454320074175,-0.0190613720669586,-0.0188538177634815,-0.0154569265369196,-0.0115366666476067,-0.0205802625559329,-0.0291236131348864,-0.0205427507603075,-0.0189477588222411,-0.0178995101409857,-0.0111354050664689,-0.0146745512869674
21,,-0.0261396053461049,-0.026302707845518,-0.0250775979228498,-0.022269288962397,-0.0236244880956965,-0.0260197211717107,-0.0285801029828713,-0.0213880287780712,-0.0264777867674469,-0.0416655893166537,-0.0266862126915151,-0.0229106681206817,-0.019224541786743,-0.0183425618665005,-0.00770985528443576,-0.0249425792382688,-0.0203434915577756,-0.0259426114611684,-0.0336628354249016,-0.0180413236043716,-0.0267940500096109,-0.0307419538353836,-0.0247312170893555,-0.0218824378877782,-0.0213911908783751,-0.0221063426922827,-0.0197087898152308,-0.014985208368538,-0.0247951010659389,-0.0279047257333,-0.0226550660127188,-0.0208809989695565,-0.0220982405085828,-0.0145469406564441,-0.0180246235138438
22,,-0.0278920076736926,-0.0267687963052276,-0.0241790932960614,-0.0226073350827599,-0.0249653490310488,-0.027592276789998,-0.026898766443965,-0.0194380376805664,-0.0209882070137036,-0.0349178574834647,-0.0263975187122116,-0.0217494285394823,-0.0189714546317003,-0.0183044834576334,-0.0120466902230035,-0.026002966475911,-0.0187744721248352,-0.0248245649316995,-0.0328263225735811,-0.0176128967998461,-0.022371393303029,-0.0317647803595706,-0.0279377841324551,-0.0275906039799257,-0.02373078274766,-0.0222002178094627,-0.0187544615991393,-0.0189255603297712,-0.0202774352624741,-0.0311563125782202,-0.0262185626566167,-0.021663614343601,-0.0176235235800408,-0.0170663862067893,-0.0203108104072595
23,,-0.028556182739654,-0.024335727920946,-0.0220264855266799,-0.0220028721486986,-0.0277561503105569,-0.0291369078508533,-0.0298106121257264,-0.0212022202001326,-0.0276459204649195,-0.0378899915507593,-0.0275080793877742,-0.0216795735050386,-0.0202889184876391,-0.020036089485107,-0.0172587938807776,-0.0267593892523106,-0.0210197122339114,-0.0232145829381529,-0.0337842344929578,-0.0158475326617991,-0.0195506470835071,-0.033819345184933,-0.0282709666912549,-0.02983477596347,-0.0206606352565799,-0.0197579454891663,-0.0184731019521922,-0.0169789705894682,-0.0247362209629746,-0.0310459974197713,-0.0247531519144452,-0.0224698386492785,-0.0221251367780231,-0.0170904351721028,-0.0189103277445223
24,,-0.0300445467953377,-0.0257931867750817,-0.024011068342913,-0.0232948935384391,-0.0255921937880303,-0.0319910423201634,-0.0281293451267545,-0.0200625794558752,-0.0283161656551069,-0.0370938510156467,-0.0280008509574058,-0.0225120126654939,-0.0195549657380151,-0.0159449683142445,-0.019628061923188,-0.0265678456585803,-0.022007095254143,-0.0205162946907434,-0.033001801679156,-0.0162946832496283,-0.021847825549547,-0.0328454000243478,-0.0317104060446078,-0.0351526512758707,-0.0249647681263835,-0.0227403595612094,-0.0206999406336607,-0.0163323469157438,-0.0247109943008113,-0.0330648123690243,-0.0263612809202021,-0.0194565243957355,-0.0210686444618547,-0.015258157162216,-0.0212987570055062
25,,-0.0318813924173002,-0.0255285606606957,-0.0225538990321699,-0.0224240137906793,-0.0252269948747217,-0.0289801560825864,-0.0307621270509417,-0.0195333468993576,-0.0296884774365714,-0.0345008878209088,-0.0276661524082475,-0.0223823392394861,-0.0182102846404849,-0.0180952445240604,-0.0183269578099561,-0.0241034660776553,-0.0231364966879282,-0.0258159491926398,-0.0327542158568894,-0.0151648916452255,-0.0239029060928436,-0.033610318655208,-0.0288298473092844,-0.0365614081335038,-0.019120635889874,-0.0191473574186499,-0.0147410164760276,-0.0149381066112702,-0.024483793320093,-0.0326717670674127,-0.0273508933242995,-0.0187364519809293,-0.0169237922900474,-0.013691050638286,-0.0188988849214078
26,,-0.0330777744055986,-0.0242448322494668,-0.0288866511345872,-0.0268761516509156,-0.0281349019127759,-0.0304464832298169,-0.0342748673076347,-0.0252023954714181,-0.0308502357662298,-0.0410287557534011,-0.0310161985928097,-0.0268655737920129,-0.0230828347205205,-0.0228396604167497,-0.0237560015393716,-0.0290717866026141,-0.0261053206140601,-0.0270532698800657,-0.0373933588444149,-0.0213839259628453,-0.0301306226550827,-0.037496974064824,-0.0312661841771721,-0.0332743360387515,-0.0257050968060473,-0.0248656634279272,-0.0214891681015826,-0.0185282364974422,-0.026225291789354,-0.0343096618725561,-0.0300056229296826,-0.0234637608646346,-0.0237938190231404,-0.0170663862067893,-0.0213858413476501
