Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean(background)
1,,0.0440474999818899,0.0424575463458275,0.0444957518154081,0.0369764666295307,0.0390107752090996,0.03865930135077,0.0605738215155126,0.0391635730467659,0.0409630626108117,0.0444928218924822,0.046969962647706,0.0567590379163272,0.0456291310105687,0.0430216524411803,0.0432011941952162,0.0454956581224256,0.039436510782601,0.0275456104752148,0.0435098862199834,0.0464401922001142,0.0395405747369249,0.059415103396559,0.0659096007578247,0.0542790961429736,0.0340842332799694,0.0460740678920745,0.0423357230373472,0.0335401364405692,0.0414784870859135,0.0403532513954197,0.0442803933341038,0.045243879440164,0.0439823352225434,0.0420957225582427,0.0396322962717441,0.0251462069050074,0.0486067116300698,0.0391428892593447,0.0392557342065361,0.0474611363778273,0.0462132721195193,0.0380039424504058,0.040283786204252,0.0489700698193614,0.0407217918983102,0.0415154956676496,0.0813226760932164,0.00893891699508277
2,,0.0274086095345877,0.0256678218340107,0.0281175910472552,0.0254053484197532,0.0282484410445148,0.0258244885168979,0.0347742202870376,0.0254025246892907,0.0261532656740441,0.0277397625352689,0.0320989660859648,0.0376205470752069,0.0332938313200712,0.0265074147293471,0.0314206919744166,0.0303776082833549,0.02963808612748,0.0112490824380909,0.0230858103310061,0.0322950484379033,0.027325773905131,0.0364729493423097,0.0370199708793642,0.0349363471269944,0.020909912915329,0.0313875474132515,0.0266812008276875,0.0184787766864039,0.0282541689703558,0.0232064670907945,0.0281113614852199,0.0275404021537779,0.0275488137368032,0.0273133792844209,0.0271934661634507,0.0147561593044381,0.0296792040448981,0.0290535724155298,0.0261725683378663,0.0298627917760645,0.0356264075425,0.0224341824633234,0.0268627593699835,0.0271702474614162,0.0293243375110395,0.0243561211780513,0.0571268380540107,0.0050987368062733
3,,0.0167345214553673,0.0153669777762362,0.0166312705258517,0.0144333111835257,0.0165770808928462,0.0185410733576514,0.0258317991098483,0.017393027654053,0.021084474880594,0.0236190563163033,0.0304503576556571,0.0251082528589122,0.0193820595272871,0.013561609028521,0.0180341190704291,0.015341794944067,0.017531902397319,0.00521335949594495,0.0178777124381757,0.0246249966954294,0.0192408782120377,0.0258749435693092,0.0227944052503819,0.0249723900673036,0.0109062651951371,0.0216549010194248,0.0153540737099057,0.0102102033263961,0.0194980822296818,0.00861674020804166,0.0162966591272001,0.0170326564277488,0.016287019842987,0.0176908459999018,0.0196726172546509,0.0134627029375103,0.0160973460692754,0.0188322313755007,0.0145341446925876,0.0192224065908746,0.0213251751090167,0.0140668341660004,0.0145900549255236,0.02044053337615,0.0180499419432885,0.0133814548304451,0.0446392233580088,0.0016679995184991
4,,0.0136447555858971,0.0142416363904315,0.0118896044022253,0.012599831797403,0.0144457697085383,0.0196158462552938,0.013186512408238,0.0122433330640471,0.0154995201374765,0.017087431405361,0.0198608672761387,0.0132221651084097,0.0159179684595165,0.0160602659375572,0.018396554468685,0.0138825417089914,0.0103319533709309,0.0140299131859567,0.0185238938164505,0.0274824348901136,0.0119956536904835,0.0189329197739223,0.0205581998638567,0.0146651682586614,0.00996057996328392,0.0143050719752236,0.0137672014686696,0.0119548424873536,0.0122844165727857,0.00516034731672841,0.0137735307407055,0.0135217853123233,0.0122183800801287,0.01394952829361,0.0115955717549384,0.0150166266543364,0.00999192196403009,0.0109458532460146,0.00866426049066787,0.0188225448161553,0.0155766381903838,0.011884646046017,0.0122899200207915,0.0108332762328838,0.0128435863054941,0.00980613625054949,0.0583513251979204,0.00387090711949968
5,,0.0075447369732361,0.0128459884850144,0.00998679281311199,0.0076843230935246,0.010605241432356,0.0114745089439034,0.0118643500606563,0.0102250206953196,0.00629393372022998,0.00990494387125096,0.00815300481912865,0.0111841771787682,0.00797331452050463,0.0118617354932736,0.0141072849968292,0.0100234393927139,0.00775194217195957,0.028025226734725,0.0201255757107817,0.0237171173725263,0.0103921347228923,0.0116094770683733,0.014380509729382,0.0110471464711674,0.0175280678404664,0.0124699204310061,0.0143827687714494,0.01951913910047,0.0111105616303329,0.00572973989302452,0.0110692776235527,0.00972510458850612,0.0106958843003692,0.0104850338038202,0.00909126371266192,0.0125940726139142,0.00624677643972776,0.00758699349414406,0.00649978085512819,0.0108039579007609,0.0124326649913045,0.00902978119861277,0.00893555365026396,0.00544182197136661,0.011706757210884,0.00936156949192858,0.0345614887194621,0.000829901587616766
6,,0.00455231977107813,0.00679064118779879,0.00355794041517142,0.00581503607584041,0.00349299765629872,0.00496015639428192,0.00851443544742272,0.00645021627453463,0.00509602173554621,0.00707224582920286,0.00894226467763089,0.00520696553324757,0.00967429340927404,0.00778284740296352,0.00782040646947027,0.00116078386256319,0.00175660075740998,0.0215852199298507,0.00922600568276942,0.0160088877759882,0.00468657790536127,0.00776696539802455,0.00907031144652196,0.00564862473946304,0.0163435116387334,0.00546352707965573,0.0102331564040806,0.0131712536648523,0.00750181144759631,0.00379597490420939,0.00694008859376191,0.00482231883703421,0.00486651306342636,0.00641256694306487,0.00846105119693839,0.0108905430972701,0.00840916479125011,0.00527750576000827,0.0049749741655145,0.00613737049473516,0.00958643261296933,0.00691476804706244,0.00247924955016396,-2.75488362246858e-05,0.00794855721608579,0.00730632300219768,0.0158072284643535,0.00373442615248798
7,,0.00369287512879537,0.00195809000081766,0.000203021415179958,0.00239926676691406,0.00238519749270376,0.000730126142719916,-0.00158914307526737,0.00164547293574821,0.00133288172430912,-0.000733588051098679,-0.00247297740133794,0.00140433183612032,-0.00135420546953035,0.00513903880922655,0.00226794069733086,-0.00222268489781261,0.00131816876562467,0.0141537931273312,0.00693949554353131,7.54990169895042e-05,0.00122109115863967,0.00437087729998817,0.00239452640157243,0.00316246993989656,0.0131905845766723,0.000827941444931052,0.00635258569002482,0.0080398610998948,0.0046301935475094,0.00079540604116046,0.00273592610316403,0.00242376965432536,0.00484446960707293,0.00442089067424752,0.00429284669940144,0.00204962094230248,0.00397353066238751,0.00184240158206637,0.00437786180426463,0.000345493766105448,0.00584957297765342,0.0107031652848691,0.000427483344927193,-0.00237258759123723,0.00470453321912539,0.00438514739107667,0.00243560545725736,0.00240878926449199
8,,-0.000125160689548561,-0.00124492194211449,-0.00192705125614172,0.000931797123758339,-0.0017358005907835,0.00813855812695387,-0.00354054116713096,0.00209314425220985,0.000916894587105187,-0.00133409999430666,3.49034173912005e-05,-0.00220472502730971,-0.000393061119088419,0.00345398583584536,0.00143564334903245,-0.0037784876794923,-0.00336177845851719,0.031555044130593,0.00938888492105568,-0.00828360256084682,-0.000768308591425383,0.00226315415659117,0.00191963214543345,-0.000258489831175014,0.00750852625083163,-0.000902440980466713,0.00232608678321205,0.00956033422518706,-0.000867620903748864,-0.00206395552941519,-0.000683289195031328,-0.00110575217628645,-0.000843740326353976,0.000506620285340632,0.000108100181246669,-0.0047646403562511,-0.00144730021675396,0.00360562184864857,0.000949733126171478,0.00305582231812653,-0.000182785024462424,0.00658253006624466,-0.00252402286949339,-0.000579803928988186,0.000272984799912277,-0.000356284161307809,-0.0100388448550505,-0.00799071111037537
9,,-0.00364869043133016,-0.00466963335691856,-0.00463882139348374,-0.000162479808422373,-0.00163771025857226,0.0061960104500681,-0.00895413942191657,-0.00218325425339367,0.00140600689947719,-0.00446463093282201,-0.00724518076006749,0.000949004752838138,-0.00286149823836313,0.00512403860418641,0.00564643021051549,-0.00430781633411929,-0.00700339615372663,0.0109958438355761,0.00765749087547293,-0.0083328711881587,-0.0014486897992963,-0.000579209007425355,-0.00166890248641772,-0.00227416083739945,-0.00134999132241019,-0.00136258907357344,0.000128124092307271,0.000187432705513325,-0.001951324018151,0.00533995610459377,-0.00342656959315199,-0.0038833645433169,-0.000111232112587826,-0.000160624239485851,-0.00244144836392873,-0.00846604110196262,-0.00588092870139934,-0.00209822185472106,-0.00160390195440312,0.000498772666507893,-0.000876727180365086,0.0119351342388522,0.00234747952031977,-0.00146967608193418,-0.000892871458105978,-0.00411309426590138,-0.00176183833756849,-0.00121681390122776
10,,-0.00397096020723423,-0.00329339618673774,-0.00403794309212501,-0.00362852989340362,-0.00454744557121222,-0.00211942092318208,-0.0138668817442307,-0.00432872044177466,-0.00195650382051367,-0.00532182456424295,-0.00610242999968798,-0.00254632166767841,-0.00298600502484577,0.00369327054379247,0.00127891667725493,-0.00705456624241734,-0.00638493597176613,-0.00469170928089717,0.00119834488016028,-0.0115157098261419,-0.00282527975282958,-0.00581183477249739,-0.00735850338344648,-0.00724023698669594,-0.00542291109921531,-0.00260495574918012,-0.00379807608615044,-0.00572829590478752,-0.00351537864654098,0.000757004545768391,-0.0038902019535245,-0.00260957110344894,-0.00474909214648888,-0.00346197604152769,-0.00506508977354592,-0.00173392334213131,-0.0094144483722488,-0.00661565882366368,-0.00365123463410136,-0.00500824485990151,-0.00446471640530887,0.00602338046169617,0.00141376421154928,-0.00948542864710801,-0.00401376849666554,-0.0054118958670508,-0.014341005338352,0.00344200258148634
11,,-0.00741497682273633,-0.00709076163421819,-0.00678052983221456,-0.00748192420841989,-0.00846420457771555,-0.00806185635447835,-0.0139157259583451,-0.00515806385301131,-0.00484136214364416,-0.00620637019635979,-0.0125719229711175,-0.00296752151185387,-0.00363592244341766,-0.00078074270802647,0.00384459034116979,-0.0104236372633873,-0.00999414269984094,-0.0155937528684808,-0.000480630747434938,-0.00896724919898584,-0.00517276063565811,-0.00973345000484887,-0.0113163724209806,-0.00750728364446465,-0.0113733906473468,-0.00647152676254811,-0.00773796510392865,-0.00781547449269295,-0.00737693018337832,-0.00358951090017198,-0.00612832848558125,-0.0061638765420781,-0.00808530687843513,-0.00502382614868888,-0.00687740277658195,-0.00876525270159866,-0.0120714407431277,-0.0105233214871851,-0.00519194886897766,-0.00956703362815831,-0.00765367316209191,0.00717548108803043,-0.00162043659997898,-0.00575042007181367,-0.00913324706087871,-0.0080025009182196,-0.0195076270175658,0.00210663487500148
