Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean(background)
1,,0.0323948551447863,0.0220696273330283,0.0315996454346795,0.0342462321653478,0.0221512695975799,0.036908556748974,0.0198605544283404,0.0212597703639421,0.0249351049108068,0.0219532866469588,0.0222448900510073,0.0182581121996438,0.0217320165648372,0.0250256605899684,0.0100382669723366,0.0140542978277076,0.0174907856810023,0.0177152322513312,0.0173248329924342,0.0178415817262548,0.0137658814209432,0.0185555748868568,0.0188853276396271,0.017539644037493,0.0175045930484029,0.0175547400285402,0.0193623967910268,0.0190981011788165,0.0320326341922069,0.0166921347480683,0.0210456794441781,0.0344559641057205,0.0248628973418078,0.0191008048625894,0.0033993150470864,0.0196390543885294,0.0181819035178983,0.0181503713217181,0.0153155527386588,0.0181335138085605,0.0166221396398227,0.0180136706811305,0.0152132374916736,0.0130387996805237
2,,0.0233786947085744,0.020461690349088,0.0240300487149048,0.0246636263718994,0.02117201425582,0.0254269254159347,0.0171977617001347,0.01667379383089,0.0209013435287834,0.0149244702444452,0.0194537558774199,0.0175708167963912,0.0156339213569179,0.0179812940213827,0.013789463124916,0.0122388167842599,0.0142870748615622,0.0161957564921529,0.0190023090728442,0.0147814996160208,0.0150040435805459,0.0148039692505544,0.0139220632544538,0.0153943837054929,0.0156330815662356,0.0128564776837228,0.0120715946250223,0.0152490876362899,0.0220675113242111,0.0172569232932932,0.0197037745631844,0.0268954046633989,0.0181933508300035,0.0164957697158467,0.00625140625790085,0.0179839975676642,0.0161252647220585,0.0198831681568514,0.022621972863239,0.0151638921939601,0.0149439579875359,0.0146607759316483,0.0132852067132323,0.0127743032959523
3,,0.0146577113991315,0.0130909326342417,0.0139804525414167,0.0168738589244457,0.0136391319109226,0.012330084619697,0.0114235154443171,0.0105557747148851,0.012356579132746,0.0100757976467994,0.0102685787339333,0.00990850657704552,0.0127185397718621,0.0141854122554477,0.00965507237514528,0.00880562981103561,0.00866585239016679,0.0123744729191675,0.015605592851144,0.014786193738274,0.0107178557224672,0.0130947251951584,0.0116319639470229,0.012733550983465,0.0105973215510138,0.010571308604095,0.00919481276883642,0.00960307879517702,0.0193481017114913,0.0128022741066217,0.0110135680858773,0.00971232655577574,0.0110402268356845,0.0153190042394698,0.00808847418510317,0.00931609461076807,0.00863210247016701,0.0136724942979473,0.0106442945680382,0.0107878784787562,0.0109992673205209,0.0141465409917155,0.00736475621061326,0.00907094352190645
4,,0.0127223024133543,0.00823791947691569,0.0111517874527975,0.0144327437310535,0.0100780038970644,0.00668537908871043,0.00659441614917458,0.00729011540653581,0.00845791736959702,0.00751195305305003,0.00942843969180051,0.00845963102300808,0.010386183192486,0.0104443340594657,0.00430062526420315,0.00565742800160667,0.00784029247624793,0.00920065586063527,0.00971629588787392,0.0105394698956876,0.0067173134470953,0.00902206856153865,0.00971070987086653,0.0129305511049559,0.00893004456820558,0.00742301515235289,0.00535171663475516,0.00626425546873764,0.00932813214444451,0.0085662921505094,0.00795192896955222,0.00294422326080434,0.0103934180606531,0.0115130663655055,0.00920538427559323,0.0106623084524065,0.00836244307467484,0.0114928439989428,0.00651186353722037,0.00871871234161175,0.00928648521895734,0.010814085303786,0.0113571759347913,0.00769121218764873
5,,0.00714718312891918,0.00299120611894851,0.00621165590796351,0.00744324532719581,0.00339425701724674,-0.000358550219076444,0.00381423389639786,0.0051936915915357,0.00620260686110871,0.00433752126874595,0.00680347583368714,0.00315634600354869,0.00380216967400251,0.000425245043496136,0.00177976272252863,0.0050813826705246,0.00380124504135534,0.00420153724331477,0.00505480587655324,0.00516761350889403,0.00501342182138484,0.00423125013197771,0.00692615057066702,0.00742711903228748,0.00274874948450427,0.00310027740788201,0.00529687220123004,0.00397410034883011,0.00412654665696249,0.00470371401268941,0.00575022263466664,0.00718740343883458,0.00582765659135638,0.00535359753878711,0.0120114859407777,0.00569665466746436,0.00343039720634579,0.00586599734178965,0.00146130774089927,0.00347678559707511,0.00338668958070439,0.00439592375797579,0.0065287700844156,0.00292432660969785
6,,0.00766471894853897,0.00437490647823466,0.00658018890546222,0.00313818354447709,0.00502411174240616,-0.00380537422155322,0.00642204849601085,0.00683660654453112,0.00645396091168208,0.00812239896938197,0.0047907316121924,0.00204181640883795,0.00506558293713507,0.00670300036898521,0.0063678206390886,0.00647795847320667,0.0026710837380963,0.00548723673938766,0.00244201236515316,0.00344228078141534,0.00729940691075382,0.00397853093476512,0.0026660622147548,0.00321232213871036,0.00675237936657264,0.00166998474403003,0.00509917715015098,0.00475057088986265,0.00527644107489018,0.00674433669687907,0.00668816397935801,0.0103996040053748,0.00248033198314136,0.00261074166962762,0.00318696460488552,0.00289934603506069,0.00518253540343149,0.00245502069187383,0.000882321536099386,0.00608246209868465,0.00555801742873709,0.00289439327956555,0.00422542266388315,0.00235388444592086
7,,0.00146384569130467,-0.000622302025444536,0.00427925885895902,-0.00199754572107709,-0.00238549234631146,-0.00145133993465727,0.000516668183473972,-0.000158240316006991,0.00287757731570709,0.00313414743969811,0.00119736129320406,0.00111306327838992,-0.00329200675924173,0.00381974495210578,0.00163852394762507,0.00129908549664932,0.00161951695755545,-0.000204117036427663,0.00498693927762328,0.00161675282377354,-0.00263843399875437,0.00171951416225711,0.00254074371449026,0.000854828192341366,0.000400910870024735,-0.000415454412502192,0.00177216075828175,0.00275527252001638,0.00146198374329325,0.000886878181944902,-0.00124612113417912,0.0103294425821464,0.00160122762164775,0.00175044237099511,0.00969455924968841,0.00209380879138046,0.00209246620671423,0.00504516101751578,-0.00317010757783455,-0.00160418803812206,-0.000359018571785229,0.00193775633341734,-0.000517777758712356,-0.000493812082459528
8,,0.000189186598508852,-0.00155298993249422,0.0018291262351036,-0.000863027759673964,0.00365449677060664,-0.00373925044830656,0.00036491732853258,-0.000359814458450503,0.00155013761093111,0.00489583699689764,0.00377965301592377,0.00349082115374071,0.00387516004325041,0.00531617623049846,0.00712407940159091,0.000240009887945568,-0.0015841938618846,0.00430044796624442,0.00427102426105338,0.00304667958186966,-0.000331254526752647,0.00116174228600588,0.00345263578024346,-0.000320369229104484,0.00307761059497828,0.00274060182167595,0.00372663142858667,0.00296497729624678,-0.000162523247636717,0.0027086979017263,0.00357438782665068,0.00783966361391098,0.00261221675109975,0.000995780793652812,0.00466380573737905,0.00155860984667936,0.00296104876571312,0.00300219699838956,0.00214005918197132,0.00176009941992718,0.00163068684872954,0.000168740745122551,-0.000586030549477451,0.000559248775275655
9,,-0.00504687605923651,-0.00220466816622258,0.00154032583185154,-0.00219011380753817,-0.00298820038621079,0.00863693907713418,-0.00247739581956674,-0.00365566374627614,-0.00209717010164445,-0.00522010372028498,0.00049490264085596,-0.00550900209377696,-0.00372930758308354,-0.00110772194819877,-0.00230412268569659,0.00107215036621846,-0.00438502839604872,-0.00166973052074323,-0.00357807947796739,-0.00302573408464316,-0.00268082276401947,-0.00216048475717854,-0.0017332689192291,-0.00368608376721725,0.00127422128583578,-0.00190170379974781,-0.00178539357218452,-0.000628868975546489,-0.00222478815136015,-0.00160017313123895,-0.00180649577962841,0.00782558057959212,-0.00189684063921961,0.000598112136214202,0.0143467492995781,-0.00409110616559579,-0.00075299470759961,-0.000910250135748318,-0.00105400944428956,-0.00192609425680124,-0.00244378543425738,-0.0026906543442624,-0.00398142262225352,-0.00476268933973168
10,,-0.0054942854387987,-0.00361363675514257,-0.00398753755868972,-0.00366892422394246,0.000223617720607822,0.00112483108731049,-0.00168385946350509,-0.00193219823668636,-0.00375974854051826,-0.00588296237324248,-0.00288962522726443,-0.00343781414171916,-0.00183425182754925,-0.00285964772520739,0.00159829585581284,0.00356263179762258,0.0010101872087249,-0.00286547302269488,-0.0015975317665772,-0.00351181853727651,-0.00410946089141084,-0.0016389124655065,-0.00192820880852916,-0.00235943880492568,-0.00233242531273401,-0.000703162536540346,-0.0026308587785331,-0.00120718077069832,-0.00551007640507919,-0.00161836146699,-0.00221032798838313,-0.000913132526561172,-0.00152641646486646,-0.00243707265984453,0.00170997559603943,-0.00196690445401119,-0.0016915476169506,0.000257260538752923,-0.00372901425013594,-0.00172295526400926,-0.00211502130376008,-0.00229979431935382,-0.00147331682942536,0.000356926482655398
